time,gFx,gFy,gFz,TgF
0.000837,-0.0984,0.3365,0.9706,1.03
0.014091,-0.0918,0.3223,0.9571,1.01
0.023878,-0.0916,0.3208,0.9469,1.00
0.031742,-0.0977,0.3221,0.9352,0.99
0.047271,-0.0994,0.3135,0.9181,0.98
0.055478,-0.1055,0.3133,0.9090,0.97
0.064916,-0.1126,0.3162,0.9010,0.96
0.072958,-0.1189,0.3191,0.8939,0.96
0.082753,-0.1231,0.3213,0.8902,0.95
0.098257,-0.1289,0.3191,0.8971,0.96
0.106740,-0.1323,0.3216,0.9049,0.97
0.115176,-0.1318,0.3225,0.9129,0.98
0.131179,-0.1397,0.3272,0.9207,0.99
0.139315,-0.1436,0.3269,0.9244,0.99
0.151975,-0.1475,0.3350,0.9154,0.99
0.155707,-0.1475,0.3360,0.9151,0.99
0.172409,-0.1504,0.3394,0.9161,0.99
0.181314,-0.1477,0.3399,0.9251,1.00
0.189358,-0.1463,0.3391,0.9369,1.01
0.205487,-0.1521,0.3372,0.9698,1.04
0.214427,-0.1528,0.3377,0.9789,1.05
0.222731,-0.1499,0.3367,0.9798,1.05
0.231670,-0.1470,0.3384,0.9681,1.04
0.243344,-0.1277,0.3228,0.9518,1.01
0.255922,-0.1050,0.3118,0.9427,1.00
0.264313,-0.0945,0.3106,0.9388,0.99
0.272119,-0.0847,0.2950,0.9432,0.99
0.281803,-0.0686,0.2827,0.9469,0.99
0.290098,-0.0566,0.2788,0.9317,0.97
0.306319,-0.0527,0.2637,0.9549,0.99
0.315088,-0.0505,0.2571,0.9681,1.00
0.322449,-0.0549,0.2549,0.9833,1.02
0.343735,-0.0571,0.2376,1.0028,1.03
0.344035,-0.0571,0.2376,1.0028,1.03
0.355841,-0.0503,0.2293,1.0135,1.04
0.368677,-0.0466,0.2176,1.0157,1.04
0.372755,-0.0449,0.2173,1.0162,1.04
0.389188,-0.0452,0.2149,1.0052,1.03
0.397658,-0.0584,0.2188,1.0116,1.04
0.405735,-0.0706,0.2268,1.0106,1.04
0.414723,-0.0850,0.2388,1.0057,1.04
0.424477,-0.0903,0.2429,1.0003,1.03
0.441470,-0.0906,0.2498,0.9793,1.01
0.449668,-0.0916,0.2503,0.9720,1.01
0.456168,-0.0967,0.2517,0.9667,1.00
0.465748,-0.1018,0.2525,0.9645,1.00
0.482164,-0.1143,0.2586,0.9691,1.01
0.489586,-0.1174,0.2561,0.9718,1.01
0.498804,-0.1226,0.2549,0.9710,1.01
0.514657,-0.1245,0.2515,0.9681,1.01
0.522321,-0.1250,0.2517,0.9662,1.01
0.530903,-0.1299,0.2542,0.9676,1.01
0.543121,-0.1326,0.2520,0.9732,1.01
0.548735,-0.1323,0.2539,0.9750,1.02
0.564263,-0.1138,0.2486,0.9652,1.00
0.573933,-0.1004,0.2454,0.9596,1.00
0.581062,-0.0940,0.2464,0.9569,0.99
