time,gFx,gFy,gFz,TgF
0.001222,-0.1702,0.3059,0.9767,1.04
0.009030,-0.1807,0.2910,0.9630,1.02
0.019963,-0.1802,0.2998,0.9710,1.03
0.029717,-0.1780,0.3059,0.9881,1.05
0.037962,-0.1663,0.3045,0.9784,1.04
0.046089,-0.1577,0.3015,0.9764,1.03
0.054680,-0.1519,0.2979,0.9823,1.04
0.071025,-0.1458,0.2962,0.9642,1.02
0.079417,-0.1419,0.2945,0.9522,1.01
0.087976,-0.1426,0.3011,0.9439,1.00
0.104784,-0.1485,0.3047,0.9288,0.99
0.113404,-0.1470,0.3052,0.9227,0.98
0.122243,-0.1441,0.3020,0.9142,0.97
0.134052,-0.1409,0.3028,0.9176,0.98
0.138801,-0.1402,0.3040,0.9193,0.98
0.155422,-0.1555,0.3062,0.9085,0.97
0.163138,-0.1653,0.3133,0.9098,0.98
0.171872,-0.1648,0.3264,0.9173,0.99
0.180871,-0.1546,0.3235,0.9181,0.99
0.200464,-0.1326,0.2991,0.9488,1.00
0.205176,-0.1257,0.2910,0.9513,1.00
0.213509,-0.1165,0.2759,0.9671,1.01
0.222026,-0.1077,0.2642,0.9811,1.02
0.238010,-0.0811,0.2478,0.9706,1.00
0.247015,-0.0662,0.2451,0.9508,0.98
0.255316,-0.0628,0.2439,0.9532,0.99
0.271918,-0.0837,0.2456,1.0218,1.05
0.280977,-0.0986,0.2598,1.0538,1.09
0.288357,-0.1226,0.2752,1.0445,1.09
0.296433,-0.1353,0.2898,1.0304,1.08
0.308886,-0.1463,0.3113,1.0057,1.06
0.321439,-0.1433,0.3118,0.9532,1.01
0.330152,-0.1419,0.3040,0.8714,0.93
0.338274,-0.1399,0.3040,0.8114,0.88
0.346729,-0.1243,0.3035,0.7882,0.85
0.363283,-0.1040,0.2840,0.8016,0.86
0.371466,-0.0942,0.2613,0.8253,0.87
0.379673,-0.0894,0.2422,0.8346,0.87
0.389494,-0.0896,0.2144,0.8363,0.87
0.405959,-0.1821,0.1638,0.9071,0.94
0.413966,-0.2146,0.1328,0.9627,1.00
0.422793,-0.2749,0.0803,1.1820,1.22
0.438674,-0.2747,0.1492,1.1859,1.23
0.446314,-0.3518,0.1914,1.0707,1.14
0.454968,-0.4036,0.2278,0.9698,1.07
0.463059,-0.4253,0.2500,0.8770,1.01
0.480701,-0.4610,0.2840,0.7530,0.93
0.488091,-0.4739,0.2740,0.7623,0.94
0.496414,-0.4893,0.2547,0.8092,0.98
0.506668,-0.5005,0.2405,0.8619,1.03
0.514383,-0.5130,0.2544,0.9791,1.13
0.529942,-0.5494,0.3125,0.9457,1.14
0.539361,-0.5552,0.3257,0.8621,1.08
0.547715,-0.5467,0.2986,0.8197,1.03
0.563461,-0.4295,0.2559,0.8390,0.98
0.572165,-0.4058,0.2300,0.8177,0.94
0.579757,-0.3907,0.2117,0.7838,0.90
0.587796,-0.3860,0.2046,0.7513,0.87
0.597739,-0.4375,0.2178,0.7257,0.87
0.606860,-0.4717,0.2322,0.7320,0.90
0.621472,-0.5005,0.1865,0.6612,0.85
0.630572,-0.4742,0.1438,0.5826,0.76
0.638534,-0.4060,0.1243,0.5577,0.70
0.654943,-0.2354,0.0159,0.5035,0.56
0.664108,-0.2293,-0.0015,0.4034,0.46
0.671529,-0.2481,0.0371,0.3511,0.43
0.682794,-0.2393,0.0711,0.3614,0.44
0.698686,-0.0886,-0.0388,0.6295,0.64
0.708875,-0.0957,-0.0991,0.7269,0.74
0.715110,-0.1257,-0.1209,0.7733,0.79
0.721551,-0.1775,-0.1367,0.8407,0.87
0.738253,-0.4937,-0.0615,1.0419,1.15
0.746640,-0.5037,-0.0054,1.0277,1.14
0.756329,-0.4483,0.0759,0.9793,1.08
0.771665,-0.4070,0.1277,0.9098,1.00
0.781141,-0.4004,0.1550,0.8531,0.96
0.788844,-0.3868,0.1748,0.8223,0.93
0.798402,-0.3545,0.1980,0.7967,0.89
0.810622,-0.3328,0.2173,0.8070,0.90
0.819991,-0.3311,0.2036,0.8338,0.92
0.830858,-0.3323,0.1800,0.8831,0.96
0.838330,-0.3494,0.1695,0.9102,0.99
0.847850,-0.3858,0.1685,0.9469,1.04
0.863709,-0.4344,0.1633,1.0030,1.11
0.872650,-0.4600,0.1590,1.0497,1.16
0.881266,-0.4703,0.1509,1.0743,1.18
0.897601,-0.4549,0.0803,1.1132,1.21
0.904930,-0.4510,0.0635,1.1149,1.20
0.919019,-0.4417,0.0549,1.1039,1.19
0.925715,-0.4405,0.0461,1.0885,1.18
0.938022,-0.4524,0.0127,1.0521,1.15
0.946795,-0.4566,-0.0046,1.0267,1.12
0.954781,-0.4534,-0.0220,0.9896,1.09
0.963490,-0.4341,-0.0264,0.9583,1.05
0.971828,-0.4114,-0.0151,0.9452,1.03
0.982251,-0.3753,-0.0029,0.9559,1.03
0.997500,-0.3614,-0.0171,1.0111,1.07
1.004950,-0.3814,-0.0386,1.0336,1.10
1.017822,-0.4561,-0.0847,1.0602,1.16
1.030648,-0.5560,-0.1165,1.0624,1.20
1.037804,-0.6163,-0.1304,1.0614,1.23
1.047305,-0.6807,-0.1436,1.0648,1.27
1.056259,-0.7188,-0.1419,1.0843,1.31
1.071716,-0.6846,-0.1389,1.1251,1.32
1.081781,-0.6219,-0.1358,1.1503,1.31
1.088656,-0.5921,-0.1262,1.1559,1.30
1.097256,-0.5840,-0.1238,1.1466,1.29
1.118133,-0.6925,-0.1685,1.0763,1.29
1.123387,-0.7335,-0.1800,1.0565,1.30
1.130050,-0.8018,-0.1917,1.0174,1.31
1.138321,-0.8651,-0.2127,0.9737,1.32
1.154915,-0.9334,-0.2840,0.9017,1.33
1.163987,-0.9559,-0.3079,0.8836,1.34
1.172960,-0.9615,-0.3191,0.9007,1.36
1.180626,-0.9508,-0.3345,0.9237,1.37
1.197020,-0.8878,-0.3736,0.9938,1.38
1.206178,-0.8245,-0.4141,1.0204,1.38
1.217811,-0.6800,-0.4837,1.0189,1.32
1.225153,-0.5867,-0.5101,0.9901,1.26
1.237726,-0.5140,-0.5171,0.9063,1.16
1.246703,-0.5525,-0.5108,0.8104,1.11
1.254644,-0.6153,-0.5147,0.7384,1.09
1.263992,-0.7169,-0.5377,0.6632,1.11
1.271900,-0.7896,-0.5494,0.6280,1.15
1.282036,-0.9132,-0.5538,0.6028,1.23
1.299803,-0.9012,-0.5735,0.6326,1.24
1.304590,-0.8614,-0.5621,0.6544,1.22
1.316118,-0.6939,-0.5337,0.7008,1.12
1.323290,-0.5399,-0.4942,0.7100,1.02
1.338093,-0.1665,-0.3789,0.7027,0.82
1.346659,0.0120,-0.3255,0.7047,0.78
1.356341,0.1802,-0.2559,0.7039,0.77
1.364944,0.1924,-0.2464,0.6890,0.76
1.381262,0.0320,-0.2244,0.6268,0.67
1.388669,-0.0928,-0.2122,0.5757,0.62
1.397504,-0.2481,-0.1944,0.5042,0.59
1.411528,-0.3645,-0.1738,0.4165,0.58
1.419040,-0.3619,-0.1660,0.3826,0.55
1.429795,-0.3194,-0.1448,0.3684,0.51
1.438651,-0.2964,-0.1489,0.3899,0.51
1.446788,-0.2886,-0.1797,0.4334,0.55
1.462865,-0.3116,-0.2246,0.5831,0.70
1.471241,-0.3311,-0.2315,0.6378,0.75
1.480752,-0.3797,-0.2364,0.6956,0.83
1.496663,-0.5499,-0.2769,0.7286,0.95
1.505001,-0.6641,-0.2996,0.7252,1.03
1.518461,-0.9310,-0.3789,0.7249,1.24
1.524439,-1.0133,-0.4217,0.7261,1.32
1.530172,-1.1110,-0.4861,0.7215,1.41
1.546299,-1.2330,-0.5687,0.6966,1.53
1.554863,-1.2587,-0.5936,0.6549,1.54
