time,gFx,gFy,gFz,TgF
0.003644,-0.1021,0.1885,0.9974,1.02
0.006303,-0.1021,0.1863,1.0050,1.03
0.017083,-0.1047,0.1902,1.0123,1.04
0.023791,-0.1072,0.1941,1.0096,1.03
0.037970,-0.1084,0.1946,0.9918,1.02
0.039277,-0.1084,0.1946,0.9918,1.02
0.053115,-0.1072,0.2071,0.9581,0.99
0.062166,-0.1052,0.2097,0.9459,0.97
0.069560,-0.0986,0.2124,0.9383,0.97
0.087228,-0.0930,0.2002,0.9332,0.96
0.094985,-0.0940,0.1892,0.9471,0.97
0.103154,-0.1065,0.1897,0.9693,0.99
0.112072,-0.1189,0.2039,0.9881,1.02
0.123193,-0.1353,0.2215,1.0289,1.06
0.137159,-0.1336,0.1890,1.0465,1.07
0.144298,-0.1150,0.1829,1.0489,1.07
0.153295,-0.1011,0.1812,1.0531,1.07
0.169302,-0.0952,0.1721,1.1056,1.12
0.178248,-0.0676,0.1646,1.1566,1.17
0.186367,-0.0418,0.1511,1.1859,1.20
0.195574,0.0010,0.1304,1.1849,1.19
0.211580,0.0659,0.1109,1.1100,1.12
0.219538,0.0747,0.1170,1.0731,1.08
0.231668,0.0659,0.1475,1.0040,1.02
0.246150,0.0547,0.1748,0.9352,0.95
0.253647,0.0540,0.1863,0.9132,0.93
0.261171,0.0527,0.1931,0.8966,0.92
0.269582,0.0564,0.1895,0.8993,0.92
0.278552,0.1074,0.1817,0.8726,0.90
0.294239,0.1360,0.1643,0.8348,0.86
0.303037,0.1148,0.1423,0.8595,0.88
0.311170,0.1084,0.1467,0.8600,0.88
0.323855,0.0938,0.1712,0.8995,0.92
0.336448,0.0923,0.1883,0.9339,0.96
0.345761,0.0884,0.1836,0.9364,0.96
0.353571,0.0725,0.1707,0.9386,0.96
0.362243,0.0374,0.1646,0.9520,0.97
0.378271,-0.0540,0.2053,0.9979,1.02
0.386204,-0.0811,0.2447,0.9901,1.02
0.394732,-0.1663,0.3003,1.0265,1.08
0.403609,-0.1926,0.3272,1.0553,1.12
0.420818,-0.1431,0.3111,1.0270,1.08
0.432416,-0.1333,0.2908,0.8812,0.94
0.438870,-0.1873,0.3076,0.7699,0.85
0.446342,-0.3487,0.3450,0.7386,0.89
0.454274,-0.4178,0.3426,0.7386,0.92
0.469498,-0.4559,0.4732,0.7298,0.98
0.478717,-0.3875,0.4881,0.6951,0.93
0.486328,-0.3203,0.4175,0.6138,0.81
0.495182,-0.2720,0.3697,0.5757,0.74
0.512635,-0.0850,0.2461,0.6717,0.72
0.521282,-0.0696,0.1878,0.7672,0.79
0.532533,-0.0188,0.1091,1.0372,1.04
0.537772,-0.0393,0.0942,1.1718,1.18
0.546506,0.0261,0.0820,1.2992,1.30
0.562298,0.0664,0.0825,1.3065,1.31
0.571495,0.0933,0.0564,1.1517,1.16
0.578227,0.0266,0.0535,1.0462,1.05
0.596891,-0.1690,0.0356,0.8294,0.85
0.605459,-0.3516,0.0862,0.8123,0.89
0.612062,-0.3975,0.1084,0.8101,0.91
0.625108,-0.4646,0.1909,0.8944,1.03
0.633076,-0.4642,0.2276,0.9349,1.07
0.644435,-0.4285,0.2928,1.0521,1.17
0.655239,-0.3985,0.2871,1.0804,1.19
0.664072,-0.3230,0.2444,1.0250,1.10
0.670934,-0.2322,0.1939,0.9464,0.99
0.687220,-0.0750,0.1111,0.7242,0.74
0.697167,-0.1106,0.1047,0.6678,0.68
0.704526,-0.1680,0.1204,0.6956,0.73
0.712269,-0.2017,0.1331,0.7467,0.78
0.724206,-0.2185,0.1521,0.9286,0.97
0.738503,-0.1096,0.1109,1.0157,1.03
0.744735,-0.0801,0.0847,1.0016,1.01
0.753261,-0.0911,0.0784,0.9928,1.00
0.763016,-0.1431,0.0784,0.9862,1.00
0.780823,-0.1135,0.1133,1.0353,1.05
0.786969,-0.1062,0.1101,1.0358,1.05
0.797445,-0.1028,0.1109,1.0421,1.05
0.803979,-0.1118,0.1167,1.0333,1.05
0.825193,-0.1829,0.1372,0.9281,0.96
0.837107,-0.1922,0.1047,0.9332,0.96
0.837318,-0.1922,0.1047,0.9332,0.96
0.847666,-0.2661,0.0601,0.9774,1.01
0.861515,-0.3553,-0.0005,0.9706,1.03
0.870928,-0.3479,0.0178,0.9637,1.02
0.878797,-0.3125,0.0293,0.9835,1.03
0.888239,-0.2954,0.0105,1.1278,1.17
0.903853,-0.1309,0.0110,1.0401,1.05
0.914243,-0.0544,0.0186,1.1224,1.12
0.920409,-0.0396,0.0349,1.1295,1.13
0.932517,0.0181,0.0278,1.0843,1.08
0.940581,0.0227,0.0491,1.0646,1.07
0.954095,0.0845,0.0085,1.0067,1.01
0.961599,0.0842,0.0166,1.0340,1.04
0.979932,0.0569,0.0254,1.1070,1.11
0.986405,0.0681,0.0142,1.1022,1.10
0.994838,0.0767,0.0049,1.0802,1.08
1.003195,0.1116,0.0049,1.0228,1.03
1.013079,0.1233,0.0093,0.9688,0.98
1.033249,0.0847,0.0344,0.9063,0.91
1.042287,0.0103,0.0491,0.8648,0.87
1.044996,-0.0403,0.0637,0.8404,0.84
1.053769,-0.3872,0.1719,0.7974,0.90
1.070045,-0.3264,0.0535,0.7503,0.82
1.078501,-0.1021,-0.0610,0.7320,0.74
1.087553,-0.1511,-0.0584,0.8177,0.83
1.097168,-0.1358,-0.0830,0.9183,0.93
