time,gFx,gFy,gFz,TgF
0.004809,-0.1157,0.3350,0.9947,1.06
0.013487,-0.1145,0.3360,0.9867,1.05
0.028212,-0.1043,0.3326,0.9593,1.02
0.036286,-0.1008,0.3294,0.9505,1.01
0.045426,-0.0964,0.3296,0.9420,1.00
0.053272,-0.0942,0.3296,0.9344,1.00
0.069973,-0.1001,0.3294,0.9330,0.99
0.083602,-0.0979,0.3250,0.9291,0.99
0.086374,-0.0979,0.3255,0.9273,0.99
0.095151,-0.0982,0.3252,0.9176,0.98
0.111372,-0.0964,0.3272,0.9073,0.97
0.119632,-0.0996,0.3240,0.9083,0.97
0.128125,-0.1018,0.3272,0.9088,0.97
0.136312,-0.1055,0.3267,0.9110,0.97
0.146022,-0.1091,0.3284,0.9181,0.98
0.162622,-0.1057,0.3269,0.9310,0.99
0.170441,-0.1043,0.3225,0.9378,1.00
0.179509,-0.1074,0.3262,0.9488,1.01
0.187050,-0.1072,0.3264,0.9544,1.01
0.203178,-0.1057,0.3277,0.9632,1.02
0.211591,-0.1082,0.3267,0.9632,1.02
0.219864,-0.1104,0.3240,0.9637,1.02
0.229073,-0.1121,0.3218,0.9630,1.02
0.245841,-0.1118,0.3194,0.9618,1.02
0.254078,-0.1133,0.3179,0.9593,1.02
0.262430,-0.1135,0.3191,0.9535,1.01
0.270175,-0.1123,0.3208,0.9500,1.01
0.283073,-0.1155,0.3277,0.9327,1.00
0.295488,-0.1174,0.3279,0.9222,0.99
0.303474,-0.1157,0.3260,0.9205,0.98
0.312014,-0.1165,0.3218,0.9210,0.98
0.328370,-0.1106,0.3133,0.9247,0.98
0.336794,-0.1091,0.3118,0.9244,0.98
0.345832,-0.1099,0.3133,0.9308,0.99
0.353488,-0.1079,0.3101,0.9374,0.99
0.377586,-0.1050,0.3213,0.9432,1.00
0.377927,-0.1050,0.3213,0.9432,1.00
0.388072,-0.1030,0.3230,0.9491,1.01
0.395351,-0.1021,0.3240,0.9520,1.01
0.404067,-0.0969,0.3238,0.9552,1.01
0.420126,-0.0962,0.3208,0.9671,1.02
0.428942,-0.0972,0.3191,0.9723,1.03
0.436682,-0.0989,0.3169,0.9762,1.03
0.445776,-0.1018,0.3164,0.9796,1.03
0.462493,-0.1033,0.3142,0.9786,1.03
0.470198,-0.1050,0.3120,0.9769,1.03
0.481451,-0.1028,0.3089,0.9642,1.02
0.489524,-0.1030,0.3069,0.9596,1.01
0.503498,-0.1084,0.3086,0.9535,1.01
0.512487,-0.1091,0.3106,0.9493,1.00
0.520125,-0.1101,0.3072,0.9496,1.00
0.536831,-0.1087,0.3086,0.9447,1.00
0.545744,-0.1123,0.3120,0.9417,1.00
0.554213,-0.1177,0.3111,0.9413,1.00
0.562299,-0.1218,0.3138,0.9430,1.00
0.570609,-0.1240,0.3164,0.9486,1.01
0.581886,-0.1223,0.3160,0.9542,1.01
0.595219,-0.1167,0.3201,0.9437,1.00
0.603522,-0.1126,0.3243,0.9364,1.00
0.612858,-0.1126,0.3306,0.9288,0.99
0.628790,-0.1135,0.3426,0.8988,0.97
0.636690,-0.1311,0.3394,0.8927,0.96
0.645112,-0.1526,0.3487,0.9151,0.99
0.653327,-0.1658,0.3511,0.9515,1.03
0.671162,-0.1778,0.3433,0.9779,1.05
0.680054,-0.1638,0.3391,0.9671,1.04
0.686377,-0.1384,0.3384,0.9447,1.01
0.694654,-0.1052,0.3350,0.9227,0.99
0.711211,-0.1087,0.3387,0.9320,1.00
0.719763,-0.1023,0.3155,0.9603,1.02
0.728583,-0.1235,0.3106,0.9798,1.04
0.736660,-0.1607,0.3286,1.0013,1.07
0.745829,-0.1690,0.3369,1.0155,1.08
0.762629,-0.1206,0.3201,0.9715,1.03
0.770774,-0.0935,0.3103,0.9527,1.01
0.780401,-0.0457,0.3013,0.9215,0.97
0.794874,-0.0313,0.2847,0.9293,0.97
0.803436,-0.0393,0.2862,0.9271,0.97
0.813502,-0.0579,0.2881,0.9718,1.02
0.821040,-0.0769,0.2740,0.9793,1.02
0.829305,-0.1077,0.2676,0.9769,1.02
0.845399,-0.1165,0.2984,0.9305,0.98
0.854800,-0.1248,0.3062,0.9725,1.03
0.862167,-0.1297,0.3101,1.0025,1.06
0.871397,-0.1204,0.2945,0.9918,1.04
0.891318,-0.1018,0.2796,0.8958,0.94
0.899052,-0.1008,0.2928,0.8553,0.91
0.903265,-0.1052,0.3011,0.8331,0.89
0.919991,-0.1275,0.3142,0.8031,0.87
0.928311,-0.1533,0.3352,0.8302,0.91
0.937198,-0.1963,0.3479,0.8534,0.94
0.946845,-0.2683,0.3264,0.8582,0.96
0.953948,-0.2908,0.2991,0.8338,0.93
0.973556,-0.2586,0.2552,0.7850,0.86
0.981420,-0.2366,0.2371,0.7957,0.86
0.986661,-0.2244,0.2219,0.8070,0.87
0.995452,-0.2254,0.2063,0.8536,0.91
1.004422,-0.2532,0.1863,0.8905,0.94
1.020823,-0.4056,0.1336,1.0311,1.12
1.028836,-0.4544,0.1270,1.0860,1.18
1.036998,-0.5027,0.1206,1.1302,1.24
1.054741,-0.4139,0.2947,1.2238,1.33
1.062456,-0.4500,0.2542,1.0309,1.15
1.071344,-0.4751,0.2310,0.8026,0.96
1.078755,-0.4791,0.2554,0.7117,0.90
1.090324,-0.4764,0.3623,0.7401,0.95
1.103317,-0.5406,0.3394,0.9095,1.11
1.111810,-0.5491,0.3123,0.9681,1.16
1.120738,-0.5743,0.2930,0.9725,1.17
1.129169,-0.5535,0.2163,0.9747,1.14
1.146617,-0.4534,0.0825,0.6917,0.83
1.154151,-0.4566,0.0911,0.6505,0.80
1.162709,-0.4024,0.0452,0.6163,0.74
1.170677,-0.3091,-0.0149,0.5274,0.61
1.181460,-0.1873,-0.0193,0.3384,0.39
1.195237,-0.1946,0.0249,0.3423,0.39
1.203416,-0.2083,0.0024,0.4917,0.53
1.213152,-0.2354,-0.0374,0.7445,0.78
1.222037,-0.2591,-0.0540,0.8783,0.92
1.237037,-0.3401,-0.0869,1.0423,1.10
1.246713,-0.4183,-0.0801,1.0480,1.13
1.254279,-0.4429,-0.0588,1.0006,1.10
1.263635,-0.4488,-0.0291,0.9254,1.03
1.282118,-0.4532,0.0525,0.6702,0.81
1.288705,-0.4610,0.0618,0.5950,0.76
1.295050,-0.4693,0.0618,0.5433,0.72
1.304701,-0.4913,0.0628,0.4988,0.70
1.320127,-0.6199,0.1133,0.3977,0.75
1.328361,-0.6800,0.1460,0.3689,0.79
1.336722,-0.7293,0.1746,0.3384,0.82
1.354021,-0.8053,0.2537,0.3186,0.90
1.362301,-0.8075,0.2737,0.3477,0.92
1.370627,-0.7928,0.2779,0.3894,0.93
1.384937,-0.7115,0.2224,0.5604,0.93
1.394988,-0.6636,0.1775,0.7069,0.99
1.403354,-0.6551,0.1548,0.8363,1.07
1.412043,-0.6895,0.1592,0.9322,1.17
1.420554,-0.7227,0.1778,0.9815,1.23
1.428830,-0.7677,0.2073,1.0267,1.30
1.438861,-0.7974,0.2151,1.0438,1.33
1.454665,-0.7847,0.1753,1.0419,1.32
1.461760,-0.7586,0.1543,1.0406,1.30
1.478306,-0.6954,0.0881,1.0231,1.24
1.488149,-0.6732,0.0361,0.9891,1.20
1.495025,-0.6707,0.0066,0.9461,1.16
1.503165,-0.6683,-0.0149,0.8978,1.12
1.511656,-0.6685,-0.0076,0.8338,1.07
1.528194,-0.7154,0.0352,0.7528,1.04
1.537143,-0.7721,0.0444,0.7386,1.07
1.545790,-0.8067,0.0337,0.7430,1.10
1.554635,-0.8231,-0.0107,0.7628,1.12
1.563348,-0.8079,-0.0625,0.7865,1.13
1.579056,-0.7828,-0.1306,0.8028,1.13
1.589048,-0.8140,-0.1406,0.7992,1.15
1.595051,-0.8409,-0.1404,0.8004,1.17
1.604093,-0.8993,-0.1528,0.8050,1.22
1.620492,-1.0113,-0.1904,0.8314,1.32
1.628582,-1.0499,-0.2073,0.8338,1.36
1.637420,-1.0987,-0.2176,0.8346,1.40
1.654742,-1.1410,-0.2400,0.8263,1.43
1.662110,-1.1368,-0.2693,0.8148,1.42
1.671052,-1.1092,-0.3094,0.7923,1.40
1.683152,-1.0448,-0.3213,0.7655,1.33
1.690233,-1.0133,-0.3160,0.7515,1.30
1.703311,-0.9947,-0.2888,0.7381,1.27
1.713779,-1.0038,-0.2549,0.7381,1.27
1.720974,-1.0162,-0.2469,0.7445,1.28
1.728702,-1.0248,-0.2388,0.7618,1.30
1.738488,-1.0543,-0.2412,0.8136,1.35
1.753698,-1.0863,-0.3018,0.9347,1.46
1.762243,-1.0836,-0.3250,0.9764,1.49
1.770952,-1.0526,-0.3335,1.0086,1.50
1.790744,-0.9652,-0.2617,1.0433,1.45
1.800702,-0.9603,-0.2188,0.9769,1.39
1.803928,-0.9632,-0.2063,0.9437,1.36
1.811738,-0.9146,-0.1912,0.9405,1.33
1.821526,-0.7518,-0.1841,1.0228,1.28
1.837032,-0.4515,-0.1255,1.0323,1.13
1.845929,-0.3887,-0.0784,0.9811,1.06
1.854368,-0.4410,-0.0435,0.8883,0.99
1.862485,-0.5469,-0.0242,0.7674,0.94
1.882907,-0.7440,-0.0437,0.5699,0.94
1.891803,-0.7381,-0.0801,0.5452,0.92
1.895596,-0.7042,-0.1402,0.5049,0.88
1.903966,-0.6978,-0.1912,0.4649,0.86
1.920086,-0.6607,-0.3101,0.3255,0.80
1.928265,-0.6468,-0.3470,0.2527,0.78
1.936783,-0.6646,-0.3789,0.1712,0.78
1.944861,-0.6905,-0.4058,0.0889,0.81
1.955188,-0.7069,-0.4502,-0.0078,0.84
1.971361,-0.6431,-0.5110,0.0418,0.82
1.978866,-0.6766,-0.5245,0.1550,0.87
1.989028,-0.8641,-0.5225,0.3247,1.06
1.998541,-0.9188,-0.4920,0.3931,1.11
2.011572,-0.8924,-0.4424,0.4114,1.08
2.019993,-0.8609,-0.4134,0.3645,1.02
2.028574,-0.8600,-0.3841,0.3181,0.99
2.037101,-0.8412,-0.3589,0.3081,0.97
2.053982,-0.7767,-0.3233,0.3350,0.91
2.061803,-0.7093,-0.3064,0.3394,0.84
2.069956,-0.5384,-0.2945,0.3621,0.71
2.079329,-0.4266,-0.2674,0.3780,0.63
2.087965,-0.4253,-0.2556,0.3753,0.62
2.103458,-0.2779,-0.2114,0.5115,0.62
2.111807,-0.3711,-0.1785,0.4143,0.58
2.120002,-0.4251,-0.1524,0.0325,0.45
2.137132,-1.0145,-0.3946,0.0544,1.09
2.145635,-1.1952,-0.4327,0.0635,1.27
2.154015,-1.3683,-0.4808,0.0674,1.45
2.162151,-1.4018,-0.5005,0.0659,1.49
2.170856,-1.3978,-0.4896,0.0750,1.48
2.187736,-1.5067,-0.4793,0.1370,1.59
2.195256,-1.5429,-0.4744,0.1448,1.62
2.204618,-1.5827,-0.4571,0.1770,1.66
2.212047,-1.5954,-0.4190,0.2407,1.67
2.222367,-1.4511,-0.3462,0.3120,1.52
2.237433,-1.2133,-0.2869,0.3750,1.30
2.246472,-1.2592,-0.2779,0.4866,1.38
2.253651,-1.2880,-0.3155,0.5289,1.43
2.270193,-1.3190,-0.4075,0.5267,1.48
2.278860,-1.3512,-0.4234,0.5052,1.50
2.290481,-1.4037,-0.3616,0.4683,1.52
2.297092,-1.3229,-0.3477,0.3831,1.42
2.304121,-1.3346,-0.3162,0.2600,1.40
2.320780,-1.3168,-0.3514,0.1028,1.37
2.328946,-1.3356,-0.3855,0.0708,1.39
2.337335,-1.2826,-0.4129,0.0327,1.35
2.346011,-1.1781,-0.4185,0.0168,1.25
2.361958,-0.9750,-0.3367,0.0115,1.03
2.370389,-0.7401,-0.2915,-0.0181,0.80
2.378375,-0.6129,-0.2510,-0.0459,0.66
2.388151,-0.3875,-0.1961,0.1182,0.45
2.397125,-0.1211,-0.1812,0.2864,0.36
2.412502,0.3047,-0.1983,0.3511,0.51
2.420758,-0.0964,-0.2390,0.2085,0.33
2.429507,-0.6265,-0.3138,0.0728,0.70
2.446595,-0.9212,-0.3970,0.0833,1.01
2.454175,-0.9073,-0.4200,0.1040,1.01
2.462316,-0.8602,-0.4153,0.1318,0.96
2.470805,-0.8490,-0.3741,0.1848,0.95
2.484548,-0.8717,-0.3328,0.2166,0.96
2.499137,-0.8331,-0.2322,0.2232,0.89
2.503854,-0.8194,-0.2039,0.2285,0.87
2.512854,-0.7645,-0.1660,0.2364,0.82
2.528643,-0.5543,-0.0740,0.2520,0.61
2.537341,-0.5235,-0.0803,0.2412,0.58
2.546010,-0.5740,-0.1133,0.2786,0.65
2.562543,-0.7855,-0.2005,0.2759,0.86
2.572096,-0.9891,-0.2654,0.2195,1.05
2.579817,-1.0931,-0.2810,0.1548,1.14
2.591506,-1.1981,-0.2891,0.0349,1.23
2.598863,-1.2050,-0.2742,-0.0017,1.24
2.612888,-1.1288,-0.2163,0.0205,1.15
2.621680,-1.0453,-0.1826,0.0742,1.06
2.629660,-0.8829,-0.1338,0.1646,0.91
2.637593,-0.7445,-0.0899,0.2317,0.78
2.656807,-0.4495,-0.0171,0.3509,0.57
2.662418,-0.4195,-0.0364,0.3536,0.55
2.671678,-0.3765,-0.0925,0.3824,0.54
2.679086,-0.3562,-0.1499,0.4029,0.56
2.693333,-0.5010,-0.2783,0.2464,0.62
2.702845,-0.5672,-0.3345,0.1404,0.67
2.712869,-0.6790,-0.4031,-0.0039,0.79
2.720797,-0.7440,-0.4500,-0.0630,0.87
2.738986,-1.0187,-0.6075,-0.1216,1.19
2.746611,-1.1083,-0.6671,-0.1507,1.30
2.755331,-1.1591,-0.7164,-0.1399,1.37
2.762394,-1.1451,-0.6990,-0.1111,1.35
2.772223,-1.0138,-0.6656,-0.1145,1.22
2.783947,-0.9793,-0.7891,0.0452,1.26
2.794407,-0.9349,-0.9503,0.1455,1.34
2.803629,-0.9015,-1.0839,0.1792,1.42
2.820887,-0.7786,-1.2545,0.1851,1.49
2.829810,-0.6556,-1.2914,0.1826,1.46
2.838090,-0.6060,-1.3099,0.1609,1.45
2.848762,-0.6031,-1.2152,0.0774,1.36
2.854195,-0.5926,-1.1456,0.0457,1.29
2.871034,-0.3863,-1.0218,-0.0503,1.09
2.880000,-0.3140,-1.1217,-0.0679,1.17
2.891493,-0.3130,-1.1102,0.0017,1.15
2.899229,-0.3850,-1.0511,0.0444,1.12
2.912531,-0.4673,-0.9427,0.0879,1.06
2.921244,-0.5228,-0.8619,0.1248,1.02
2.929011,-0.5438,-0.8194,0.1560,1.00
2.937534,-0.5501,-0.7767,0.1941,0.97
2.955064,-0.5145,-0.7572,0.1756,0.93
2.962647,-0.4898,-0.7713,0.1541,0.93
2.971795,-0.4312,-0.8375,0.1109,0.95
2.981087,-0.3682,-0.9647,0.0718,1.04
2.991228,-0.2957,-1.0641,0.0647,1.11
3.000901,-0.2293,-1.1346,0.0908,1.16
3.011834,-0.2017,-1.1180,0.1497,1.15
3.021172,-0.2647,-1.0121,0.1765,1.06
3.030556,-0.3745,-0.8990,0.2464,1.00
3.046589,-0.2229,-0.9745,0.2476,1.03
3.054587,-0.1345,-1.0253,0.2219,1.06
3.062327,-0.1177,-1.0096,0.1602,1.03
3.079156,-0.4661,-0.8280,0.1148,0.96
3.090591,-0.8436,-0.7227,0.1470,1.12
3.098820,-1.1078,-0.6382,0.1980,1.29
3.103801,-1.1368,-0.6373,0.2046,1.32
3.113761,-0.7445,-0.8993,0.0554,1.17
3.129027,0.0615,-1.3190,-0.1636,1.33
3.137619,0.2940,-1.4359,-0.2390,1.49
3.147260,0.4371,-1.5390,-0.2864,1.63
3.154158,0.4527,-1.5610,-0.2840,1.65
3.164424,0.4163,-1.5702,-0.2644,1.65
3.182971,0.4629,-1.4550,-0.2012,1.54
3.193021,0.6404,-1.1993,-0.1140,1.36
3.195534,0.6275,-1.1420,-0.0811,1.31
3.204334,0.4930,-0.9654,0.0168,1.08
3.215222,0.2757,-0.8433,0.1497,0.90
3.229343,0.1321,-0.8788,0.2229,0.92
3.237322,0.1150,-0.9002,0.2244,0.93
3.246968,0.0945,-0.8973,0.1846,0.92
3.255835,0.0806,-0.8946,0.1460,0.91
3.271886,0.0335,-0.8724,0.0532,0.87
3.280232,0.0254,-0.8719,0.0171,0.87
3.290689,0.0359,-0.8993,-0.0623,0.90
3.299300,0.0186,-0.9193,-0.1001,0.92
3.312743,-0.0112,-0.9259,-0.1438,0.94
3.320752,-0.0378,-0.9312,-0.1499,0.94
3.329766,-0.0801,-0.9483,-0.1572,0.96
3.346085,-0.1008,-1.0086,-0.1340,1.02
3.355112,-0.1118,-1.0423,-0.1326,1.06
3.363713,-0.1130,-1.0616,-0.1194,1.07
3.371434,-0.0984,-1.0919,-0.1025,1.10
3.380967,-0.0938,-1.1007,-0.1077,1.11
3.400375,0.0249,-1.1632,-0.1233,1.17
3.400904,0.0364,-1.1688,-0.1265,1.18
3.412617,0.0791,-1.1891,-0.1240,1.20
