time,gFx,gFy,gFz,TgF
0.003190,0.0845,0.9961,0.0078,1.00
0.005541,0.0865,0.9961,0.0049,1.00
0.016831,0.0845,0.9957,-0.0098,1.00
0.025781,0.0861,0.9938,-0.0156,1.00
0.034870,0.0861,0.9942,-0.0098,1.00
0.049905,0.0875,0.9957,-0.0078,1.00
0.058007,0.0909,0.9972,-0.0082,1.00
0.067126,0.0938,0.9977,-0.0087,1.00
0.076129,0.0968,0.9958,-0.0096,1.00
0.092127,0.0939,0.9923,-0.0048,1.00
0.100603,0.0934,0.9909,-0.0024,1.00
0.108408,0.0919,0.9898,-0.0034,0.99
0.117059,0.0895,0.9879,-0.0044,0.99
0.134361,0.0870,0.9889,-0.0029,0.99
0.141663,0.0866,0.9908,-0.0015,0.99
0.150464,0.0866,0.9928,-0.0024,1.00
0.159318,0.0836,0.9947,-0.0020,1.00
0.177470,0.0851,0.9947,-0.0059,1.00
0.183655,0.0846,0.9937,-0.0044,1.00
0.192289,0.0851,0.9938,-0.0044,1.00
0.200612,0.0845,0.9952,-0.0024,1.00
0.209107,0.0836,0.9942,-0.0020,1.00
0.225068,0.0826,0.9971,-0.0039,1.00
0.233042,0.0826,0.9966,-0.0044,1.00
0.242421,0.0821,0.9952,-0.0049,1.00
0.250574,0.0806,0.9956,-0.0034,1.00
0.267544,0.0797,0.9961,-0.0030,1.00
0.275119,0.0777,0.9961,-0.0030,1.00
0.286352,0.0777,0.9961,-0.0035,1.00
0.291811,0.0801,0.9971,-0.0005,1.00
0.308621,0.0845,0.9971,-0.0049,1.00
0.317157,0.0875,0.9977,-0.0073,1.00
0.324593,0.0884,0.9962,-0.0068,1.00
0.334399,0.0880,0.9982,-0.0107,1.00
0.350529,0.0865,0.9962,-0.0092,1.00
0.359293,0.0836,0.9952,-0.0098,1.00
0.367424,0.0831,0.9967,-0.0142,1.00
0.375667,0.0841,0.9958,-0.0171,1.00
0.386884,0.0827,0.9948,-0.0195,1.00
0.399813,0.0822,0.9938,-0.0186,1.00
0.408067,0.0802,0.9942,-0.0166,1.00
0.417099,0.0787,0.9913,-0.0152,0.99
