time,gFx,gFy,gFz,TgF
0.013201,-0.0521,0.9858,0.1369,1.00
0.013978,-0.0521,0.9858,0.1369,1.00
0.014233,-0.0521,0.9858,0.1369,1.00
0.028241,-0.0525,0.9800,0.1354,0.99
0.031608,-0.0510,0.9795,0.1369,0.99
0.047798,-0.0457,0.9834,0.1296,0.99
0.056327,-0.0438,0.9884,0.1248,1.00
0.064184,-0.0453,0.9918,0.1233,1.00
0.072994,-0.0433,0.9933,0.1273,1.00
0.089714,-0.0477,0.9947,0.1238,1.00
0.103059,-0.0477,0.9947,0.1228,1.00
0.116474,-0.0511,0.9903,0.1271,1.00
0.120048,-0.0511,0.9903,0.1296,1.00
0.130480,-0.0555,0.9887,0.1320,1.00
0.139116,-0.0570,0.9872,0.1334,1.00
0.146743,-0.0570,0.9843,0.1329,0.99
0.155206,-0.0579,0.9843,0.1329,0.99
0.172321,-0.0565,0.9834,0.1286,0.99
0.180720,-0.0574,0.9858,0.1290,1.00
0.189089,-0.0555,0.9858,0.1286,1.00
0.197180,-0.0565,0.9863,0.1276,1.00
0.207112,-0.0540,0.9853,0.1329,1.00
0.222374,-0.0516,0.9868,0.1320,1.00
0.231039,-0.0516,0.9883,0.1340,1.00
0.239242,-0.0507,0.9907,0.1340,1.00
0.248781,-0.0487,0.9907,0.1370,1.00
0.264089,-0.0468,0.9907,0.1370,1.00
0.272264,-0.0438,0.9903,0.1365,1.00
0.280280,-0.0413,0.9883,0.1365,1.00
0.297978,-0.0452,0.9893,0.1326,1.00
0.309280,-0.0463,0.9903,0.1340,1.00
0.313507,-0.0462,0.9893,0.1350,1.00
0.322215,-0.0477,0.9897,0.1355,1.00
0.331089,-0.0501,0.9883,0.1384,1.00
0.340938,-0.0506,0.9867,0.1398,1.00
0.355767,-0.0511,0.9833,0.1408,0.99
0.364534,-0.0526,0.9848,0.1437,1.00
0.372473,-0.0555,0.9853,0.1412,1.00
0.388353,-0.0540,0.9814,0.1408,0.99
0.400486,-0.0544,0.9804,0.1369,0.99
0.406146,-0.0525,0.9795,0.1373,0.99
0.414553,-0.0491,0.9785,0.1355,0.99
0.431300,-0.0442,0.9786,0.1325,0.99
0.442178,-0.0466,0.9781,0.1306,0.99
0.448106,-0.0481,0.9756,0.1315,0.99
0.456051,-0.0515,0.9732,0.1305,0.98
0.472754,-0.0563,0.9707,0.1334,0.98
0.480597,-0.0539,0.9697,0.1329,0.98
0.488914,-0.0578,0.9673,0.1333,0.98
0.501332,-0.0548,0.9668,0.1251,0.98
0.513716,-0.0490,0.9669,0.1266,0.98
0.523011,-0.0407,0.9693,0.1296,0.98
0.530701,-0.0344,0.9723,0.1301,0.98
0.540066,-0.0232,0.9803,0.1288,0.99
0.555866,-0.0228,0.9953,0.1342,1.00
0.564277,-0.0263,0.9982,0.1391,1.01
0.573432,-0.0312,1.0016,0.1425,1.01
0.581163,-0.0332,1.0063,0.1489,1.02
0.601414,-0.0431,1.0163,0.1713,1.03
0.605738,-0.0431,1.0183,0.1737,1.03
0.614201,-0.0456,1.0207,0.1806,1.04
0.623052,-0.0573,1.0239,0.1878,1.04
0.640203,-0.0715,1.0228,0.1896,1.04
0.648849,-0.0768,1.0130,0.1842,1.03
0.660895,-0.0820,0.9950,0.1694,1.01
0.670172,-0.0838,0.9775,0.1624,0.99
0.680832,-0.0910,0.9546,0.1593,0.97
0.690219,-0.0889,0.9399,0.1637,0.96
0.703219,-0.0903,0.9286,0.1734,0.95
0.706632,-0.0888,0.9267,0.1768,0.95
0.723297,-0.0899,0.9363,0.1958,0.96
0.730956,-0.0841,0.9439,0.2198,0.97
0.739177,-0.0745,0.9522,0.2385,0.98
0.749041,-0.0659,0.9771,0.2519,1.01
0.764608,-0.0439,1.0422,0.2480,1.07
0.773942,-0.0319,1.0686,0.2507,1.10
0.786978,-0.0189,1.0896,0.2572,1.12
0.789170,-0.0219,1.0925,0.2563,1.12
0.803191,0.0046,1.0933,0.2550,1.12
0.814772,0.0130,1.0734,0.2530,1.10
0.827695,0.0040,1.0450,0.2494,1.07
0.831265,0.0030,1.0411,0.2503,1.07
0.847068,-0.0091,1.0204,0.2603,1.05
0.856574,-0.0260,0.9992,0.2694,1.04
0.865365,-0.0342,0.9850,0.2776,1.02
0.873261,-0.0468,0.9678,0.2822,1.01
0.882263,-0.0496,0.9540,0.2904,1.00
0.896793,-0.0549,0.9280,0.3068,0.98
0.909830,-0.0400,0.9085,0.3219,0.96
0.919245,-0.0288,0.9008,0.3293,0.96
0.922768,-0.0273,0.9003,0.3288,0.96
0.939056,-0.0102,0.8976,0.3250,0.95
0.947387,-0.0063,0.8956,0.3246,0.95
0.955554,-0.0048,0.8957,0.3232,0.95
0.963825,-0.0067,0.8946,0.3255,0.95
0.981066,-0.0082,0.8873,0.3255,0.95
0.988827,-0.0120,0.8828,0.3289,0.94
0.997841,-0.0115,0.8819,0.3308,0.94
1.006742,-0.0125,0.8799,0.3401,0.94
1.021748,-0.0066,0.8681,0.3493,0.94
1.030244,0.0062,0.8584,0.3548,0.93
1.038991,0.0101,0.8541,0.3553,0.93
1.047280,0.0101,0.8541,0.3597,0.93
1.063775,0.0067,0.8559,0.3698,0.93
1.071741,0.0042,0.8578,0.3713,0.93
1.080777,-0.0002,0.8607,0.3752,0.94
1.088828,-0.0022,0.8601,0.3786,0.94
1.105860,-0.0081,0.8635,0.3835,0.94
1.114095,-0.0090,0.8625,0.3893,0.95
1.123116,-0.0140,0.8668,0.3927,0.95
1.130605,-0.0194,0.8725,0.4010,0.96
1.147986,-0.0352,0.8947,0.4102,0.98
1.156488,-0.0421,0.9035,0.4117,0.99
1.164525,-0.0515,0.9165,0.4117,1.01
1.172563,-0.0560,0.9262,0.4170,1.02
1.188598,-0.0834,0.9377,0.4286,1.03
1.196756,-0.0952,0.9341,0.4372,1.04
1.207656,-0.1132,0.9221,0.4507,1.03
1.222776,-0.1248,0.8985,0.4681,1.02
1.231682,-0.1271,0.8803,0.4772,1.01
