time,gFx,gFy,gFz,TgF
0.006174,0.0402,1.0101,0.0456,1.01
0.010948,0.0373,1.0052,0.0499,1.01
0.019283,0.0374,0.9984,0.0528,1.00
0.030725,0.0374,0.9930,0.0577,1.00
0.044102,0.0359,0.9900,0.0610,0.99
0.047771,0.0349,0.9910,0.0596,0.99
0.063781,0.0379,0.9901,0.0547,0.99
0.072955,0.0427,0.9916,0.0523,0.99
0.081872,0.0433,0.9906,0.0494,0.99
0.089416,0.0452,0.9945,0.0490,1.00
0.105573,0.0432,0.9965,0.0475,1.00
0.114855,0.0413,0.9980,0.0485,1.00
0.123485,0.0422,0.9970,0.0499,1.00
0.131539,0.0413,0.9974,0.0534,1.00
0.143683,0.0403,0.9955,0.0562,1.00
0.156009,0.0457,0.9945,0.0563,1.00
0.163701,0.0461,0.9941,0.0534,1.00
0.173018,0.0481,0.9960,0.0529,1.00
0.188919,0.0486,0.9975,0.0515,1.00
0.197252,0.0510,0.9966,0.0515,1.00
0.205814,0.0481,0.9941,0.0519,1.00
0.214658,0.0466,0.9965,0.0534,1.00
0.222201,0.0427,0.9955,0.0524,1.00
0.239608,0.0422,0.9935,0.0552,1.00
0.252862,0.0393,0.9925,0.0572,0.99
0.256190,0.0378,0.9915,0.0577,0.99
0.265383,0.0403,0.9916,0.0562,0.99
0.280185,0.0398,0.9925,0.0538,0.99
0.288811,0.0374,0.9906,0.0532,0.99
0.297205,0.0378,0.9944,0.0548,1.00
0.305986,0.0378,0.9944,0.0577,1.00
0.314691,0.0369,0.9944,0.0621,1.00
0.325429,0.0358,0.9968,0.0635,1.00
0.343433,0.0270,0.9952,0.0742,1.00
0.347128,0.0266,0.9942,0.0766,1.00
0.357502,0.0266,0.9927,0.0810,1.00
0.365499,0.0270,0.9917,0.0844,1.00
0.380118,0.0295,0.9897,0.0898,0.99
0.388307,0.0309,0.9902,0.0913,0.99
0.396565,0.0324,0.9912,0.0952,1.00
0.406376,0.0339,0.9912,0.1005,1.00
0.421990,0.0324,0.9916,0.1064,1.00
0.429985,0.0339,0.9911,0.1074,1.00
0.442574,0.0407,0.9922,0.1074,1.00
0.446860,0.0397,0.9907,0.1079,1.00
0.457845,0.0461,0.9912,0.1085,1.00
0.471467,0.0480,0.9947,0.1085,1.00
0.480095,0.0543,0.9986,0.1095,1.01
0.492167,0.0577,0.9977,0.1076,1.01
0.498321,0.0587,1.0011,0.1057,1.01
0.514061,0.0612,1.0011,0.1028,1.01
0.521736,0.0612,1.0002,0.1033,1.01
0.530258,0.0582,0.9992,0.1032,1.01
0.542681,0.0573,0.9933,0.1036,1.00
0.556349,0.0500,0.9927,0.1041,1.00
0.563605,0.0495,0.9873,0.1080,0.99
0.571981,0.0476,0.9868,0.1123,0.99
