time,gFx,gFy,gFz,TgF
0.012524,-0.0839,1.0036,0.0665,1.01
0.013692,-0.0834,1.0030,0.0679,1.01
0.020821,-0.0834,1.0011,0.0718,1.01
0.029431,-0.0848,0.9991,0.0753,1.01
0.046533,-0.0834,0.9951,0.0869,1.00
0.049716,-0.0844,0.9936,0.0899,1.00
0.057497,-0.0839,0.9945,0.0977,1.00
0.070565,-0.0853,0.9906,0.1010,1.00
0.079519,-0.0868,0.9886,0.1049,1.00
0.095365,-0.0926,0.9856,0.1054,1.00
0.098933,-0.0960,0.9851,0.1077,1.00
0.108838,-0.1058,0.9826,0.1047,0.99
0.124831,-0.1062,0.9768,0.1042,0.99
0.132835,-0.1062,0.9738,0.1071,0.99
0.145318,-0.1057,0.9723,0.1149,0.98
0.149776,-0.1052,0.9737,0.1188,0.99
0.165838,-0.1077,0.9698,0.1256,0.98
0.174142,-0.1106,0.9654,0.1251,0.98
0.184253,-0.1071,0.9631,0.1149,0.98
0.191121,-0.1052,0.9645,0.1100,0.98
0.201360,-0.1028,0.9714,0.1140,0.98
0.215723,-0.0906,0.9748,0.1209,0.99
0.224330,-0.0867,0.9778,0.1249,0.99
0.233095,-0.0844,0.9807,0.1308,0.99
0.246684,-0.0814,0.9866,0.1333,1.00
0.257274,-0.0810,0.9914,0.1313,1.00
0.266190,-0.0810,0.9929,0.1309,1.00
0.275186,-0.0790,0.9953,0.1284,1.01
0.291479,-0.0752,0.9983,0.1265,1.01
0.299011,-0.0742,0.9988,0.1324,1.01
0.308173,-0.0757,1.0008,0.1270,1.01
0.318720,-0.0805,1.0014,0.1031,1.01
0.324432,-0.0790,1.0000,0.0914,1.01
0.338160,-0.0702,0.9977,0.0812,1.00
0.350316,-0.0678,0.9923,0.0807,1.00
0.357366,-0.0696,0.9884,0.0802,0.99
0.367064,-0.0711,0.9900,0.0724,1.00
0.382009,-0.0604,0.9896,0.0685,0.99
0.391342,-0.0584,0.9861,0.0793,0.99
0.398540,-0.0603,0.9842,0.0769,0.99
0.408621,-0.0623,0.9866,0.0749,0.99
0.417200,-0.0609,0.9891,0.0685,0.99
0.437566,-0.0554,0.9878,0.0608,0.99
0.440897,-0.0554,0.9867,0.0618,0.99
0.449071,-0.0544,0.9883,0.0579,0.99
0.458260,-0.0545,0.9927,0.0554,1.00
0.473847,-0.0526,0.9922,0.0530,1.00
0.483504,-0.0526,0.9922,0.0540,1.00
0.491140,-0.0501,0.9942,0.0540,1.00
0.499672,-0.0486,0.9956,0.0530,1.00
0.516164,-0.0389,0.9948,0.0527,1.00
0.524712,-0.0355,0.9943,0.0527,1.00
0.532999,-0.0306,0.9953,0.0498,1.00
0.545998,-0.0262,0.9950,0.0440,1.00
0.549900,-0.0251,0.9925,0.0430,0.99
0.565836,-0.0251,0.9886,0.0469,0.99
0.574532,-0.0271,0.9871,0.0454,0.99
0.583439,-0.0291,0.9856,0.0463,0.99
0.591621,-0.0324,0.9842,0.0463,0.99
0.608001,-0.0461,0.9836,0.0462,0.99
0.616254,-0.0520,0.9840,0.0466,0.99
0.624406,-0.0579,0.9849,0.0446,0.99
0.635009,-0.0623,0.9898,0.0417,0.99
0.654150,-0.0730,0.9897,0.0377,0.99
0.654909,-0.0740,0.9887,0.0387,0.99
0.665969,-0.0823,0.9882,0.0313,0.99
0.674475,-0.0828,0.9862,0.0318,0.99
0.691641,-0.0857,0.9906,0.0240,0.99
0.700507,-0.0886,0.9921,0.0195,1.00
0.707729,-0.0886,0.9917,0.0137,1.00
0.715393,-0.0911,0.9927,0.0132,1.00
0.725162,-0.0955,0.9936,0.0137,1.00
0.740995,-0.1047,0.9969,0.0087,1.00
0.754796,-0.1112,1.0019,-0.0010,1.01
0.763910,-0.1175,1.0038,-0.0079,1.01
0.771292,-0.1209,1.0018,-0.0079,1.01
0.781971,-0.1311,0.9998,-0.0081,1.01
0.790283,-0.1345,0.9982,-0.0018,1.01
0.798272,-0.1365,0.9972,0.0002,1.01
0.806672,-0.1375,0.9943,0.0026,1.00
0.823420,-0.1296,0.9881,-0.0037,1.00
0.832279,-0.1253,0.9939,-0.0066,1.00
0.839959,-0.1214,0.9989,-0.0095,1.01
0.854867,-0.1180,1.0048,-0.0109,1.01
0.859333,-0.1165,1.0033,-0.0109,1.01
0.867650,-0.1116,0.9985,-0.0123,1.00
0.882846,-0.0994,0.9981,-0.0181,1.00
0.892509,-0.0955,0.9972,-0.0190,1.00
0.900095,-0.0906,0.9968,-0.0219,1.00
0.915769,-0.0856,0.9955,-0.0316,1.00
0.923906,-0.0837,0.9984,-0.0325,1.00
0.933868,-0.0852,0.9984,-0.0302,1.00
0.941776,-0.0866,0.9974,-0.0311,1.00
0.953470,-0.0833,1.0003,-0.0311,1.00
0.966283,-0.0803,0.9989,-0.0286,1.00
0.974749,-0.0794,0.9989,-0.0306,1.00
0.983499,-0.0817,0.9974,-0.0301,1.00
0.993273,-0.0822,0.9964,-0.0253,1.00
1.007903,-0.0803,0.9925,-0.0258,1.00
1.015901,-0.0783,0.9887,-0.0287,0.99
1.024623,-0.0700,0.9892,-0.0339,0.99
1.032915,-0.0612,0.9923,-0.0358,0.99
