time,gFx,gFy,gFz,TgF
0.003935,-0.0717,1.0011,0.0749,1.01
0.006490,-0.0693,1.0026,0.0749,1.01
0.011886,-0.0707,1.0021,0.0783,1.01
0.021970,-0.0732,0.9986,0.0934,1.01
0.034311,-0.0761,0.9897,0.1065,1.00
0.047158,-0.0775,0.9853,0.1055,0.99
0.059291,-0.0780,0.9848,0.1001,0.99
0.067605,-0.0785,0.9853,0.0996,0.99
0.076214,-0.0775,0.9897,0.0972,1.00
0.084639,-0.0795,0.9917,0.0962,1.00
0.100473,-0.0795,0.9907,0.0977,1.00
0.109623,-0.0820,0.9911,0.0977,1.00
0.117829,-0.0815,0.9911,0.0982,1.00
0.131736,-0.0829,0.9906,0.0957,1.00
0.147278,-0.0820,0.9926,0.0967,1.00
0.148369,-0.0814,0.9902,0.0952,1.00
0.159343,-0.0834,0.9897,0.0942,1.00
0.170811,-0.0839,0.9872,0.0976,1.00
0.176915,-0.0844,0.9858,0.0981,0.99
0.193644,-0.0839,0.9848,0.0996,0.99
0.200463,-0.0819,0.9858,0.0991,0.99
0.208980,-0.0834,0.9868,0.0947,0.99
0.225592,-0.0844,0.9873,0.0932,1.00
0.234806,-0.0858,0.9862,0.0942,0.99
0.242995,-0.0853,0.9872,0.0937,1.00
0.257413,-0.0868,0.9892,0.0922,1.00
0.263425,-0.0883,0.9892,0.0913,1.00
0.280613,-0.0864,0.9916,0.0947,1.00
0.288625,-0.0863,0.9916,0.0922,1.00
0.292238,-0.0869,0.9921,0.0937,1.00
0.310248,-0.0854,0.9926,0.0962,1.00
0.318709,-0.0874,0.9916,0.0971,1.00
0.326465,-0.0888,0.9916,0.0957,1.00
0.334870,-0.0874,0.9911,0.0976,1.00
0.353769,-0.0898,0.9896,0.1035,1.00
0.364370,-0.0903,0.9891,0.1034,1.00
0.367864,-0.0913,0.9916,0.1010,1.00
0.375988,-0.0903,0.9940,0.1025,1.00
0.392196,-0.0932,0.9959,0.1005,1.01
0.401705,-0.0927,0.9939,0.1005,1.00
0.409184,-0.0913,0.9916,0.0981,1.00
0.418068,-0.0873,0.9881,0.1005,1.00
0.433491,-0.0888,0.9891,0.0976,1.00
0.443048,-0.0892,0.9891,0.1000,1.00
0.455358,-0.0903,0.9911,0.0971,1.00
0.460577,-0.0917,0.9896,0.0961,1.00
0.476339,-0.0941,0.9876,0.0995,1.00
0.484096,-0.0951,0.9867,0.0941,1.00
0.497059,-0.0912,0.9843,0.0892,0.99
0.501758,-0.0922,0.9853,0.0907,0.99
0.514238,-0.0888,0.9858,0.0942,0.99
0.525920,-0.0848,0.9848,0.0932,0.99
0.534908,-0.0814,0.9868,0.0933,0.99
0.547685,-0.0819,0.9848,0.0942,0.99
0.558886,-0.0834,0.9844,0.0947,0.99
0.567588,-0.0863,0.9838,0.0947,0.99
0.575120,-0.0877,0.9828,0.0941,0.99
0.585063,-0.0872,0.9828,0.0922,0.99
0.602383,-0.0853,0.9868,0.0903,0.99
0.610391,-0.0844,0.9878,0.0932,1.00
0.617970,-0.0834,0.9883,0.0903,1.00
0.625963,-0.0819,0.9892,0.0894,1.00
0.648613,-0.0892,0.9829,0.0873,0.99
0.649640,-0.0897,0.9819,0.0873,0.99
0.659275,-0.0921,0.9794,0.0863,0.99
0.667284,-0.0970,0.9809,0.0848,0.99
0.683595,-0.1073,0.9862,0.0818,1.00
0.692414,-0.1156,0.9870,0.0822,1.00
0.701709,-0.1234,0.9850,0.0836,1.00
0.709658,-0.1312,0.9840,0.0855,1.00
0.726638,-0.1415,0.9824,0.0903,1.00
0.739788,-0.1449,0.9848,0.0922,1.00
0.742789,-0.1469,0.9843,0.0937,1.00
0.756439,-0.1517,0.9867,0.0931,1.00
0.766817,-0.1571,0.9847,0.0931,1.00
0.775391,-0.1571,0.9852,0.0902,1.00
0.783842,-0.1547,0.9876,0.0873,1.00
0.793545,-0.1420,0.9912,0.0894,1.01
0.808508,-0.1347,0.9844,0.0918,1.00
0.817729,-0.1400,0.9873,0.0903,1.00
0.826481,-0.1395,0.9878,0.0918,1.00
0.837045,-0.1386,0.9892,0.0923,1.00
0.845036,-0.1337,0.9887,0.0958,1.00
0.859092,-0.1293,0.9932,0.0934,1.01
0.868713,-0.1225,0.9938,0.0959,1.01
0.875153,-0.1196,0.9933,0.0969,1.01
0.883998,-0.1132,0.9933,0.0964,1.00
0.902074,-0.1063,0.9895,0.0960,1.00
0.908855,-0.1078,0.9875,0.0955,1.00
0.918283,-0.1034,0.9866,0.0926,1.00
0.926244,-0.1029,0.9851,0.0911,0.99
0.943190,-0.1019,0.9842,0.0848,0.99
0.956736,-0.1019,0.9833,0.0872,0.99
0.961884,-0.1015,0.9842,0.0887,0.99
0.967352,-0.1029,0.9828,0.0877,0.99
0.979414,-0.1038,0.9833,0.0857,0.99
0.993366,-0.1019,0.9838,0.0809,0.99
1.001776,-0.1038,0.9799,0.0789,0.99
1.010605,-0.1072,0.9784,0.0750,0.99
1.026416,-0.1145,0.9736,0.0578,0.98
1.036344,-0.1199,0.9750,0.0553,0.98
1.043126,-0.1242,0.9721,0.0548,0.98
1.055988,-0.1330,0.9720,0.0493,0.98
1.068411,-0.1364,0.9740,0.0361,0.98
1.076883,-0.1428,0.9735,0.0327,0.98
1.084959,-0.1457,0.9755,0.0297,0.99
1.093260,-0.1525,0.9715,0.0277,0.98
1.102478,-0.1608,0.9734,0.0228,0.99
1.118773,-0.1720,0.9765,-0.0075,0.99
1.125343,-0.1705,0.9746,-0.0109,0.99
1.135292,-0.1754,0.9707,-0.0144,0.99
1.143383,-0.1813,0.9716,-0.0140,0.99
1.153312,-0.1842,0.9706,-0.0194,0.99
1.169080,-0.1827,0.9687,-0.0252,0.99
1.176643,-0.1759,0.9688,-0.0320,0.99
1.186107,-0.1597,0.9681,-0.0387,0.98
1.200834,-0.1343,0.9708,-0.0570,0.98
1.210628,-0.1094,0.9740,-0.0675,0.98
1.218316,-0.0899,0.9772,-0.0766,0.98
1.225613,-0.0776,0.9783,-0.0795,0.98
1.246141,-0.0317,0.9758,-0.0840,0.98
1.250682,-0.0190,0.9725,-0.0834,0.98
1.261221,-0.0053,0.9681,-0.0662,0.97
1.267045,-0.0073,0.9685,-0.0643,0.97
1.285143,-0.0073,0.9767,-0.0443,0.98
1.292596,-0.0133,0.9908,-0.0394,0.99
1.303193,-0.0173,1.0083,-0.0398,1.01
1.310219,-0.0155,1.0196,-0.0494,1.02
1.327018,0.0137,1.0430,-0.0764,1.05
1.334517,0.0244,1.0455,-0.0797,1.05
1.342385,0.0386,1.0486,-0.0918,1.05
1.353706,0.0567,1.0494,-0.1014,1.06
1.367572,0.0916,1.0248,-0.0998,1.03
1.376041,0.0955,1.0140,-0.0881,1.02
1.384432,0.0961,1.0051,-0.0769,1.01
1.393301,0.0917,0.9947,-0.0634,1.00
1.409897,0.0640,0.9793,-0.0480,0.98
1.418618,0.0528,0.9748,-0.0491,0.98
1.426771,0.0391,0.9708,-0.0507,0.97
1.433366,0.0274,0.9698,-0.0582,0.97
1.445437,0.0118,0.9726,-0.0660,0.97
1.458665,0.0000,0.9789,-0.0676,0.98
1.467655,-0.0073,0.9764,-0.0643,0.98
1.475776,-0.0141,0.9739,-0.0629,0.98
1.491767,-0.0248,0.9630,-0.0596,0.97
1.500960,-0.0302,0.9600,-0.0567,0.96
1.509064,-0.0399,0.9569,-0.0529,0.96
1.517513,-0.0502,0.9540,-0.0505,0.96
1.526691,-0.0638,0.9499,-0.0522,0.95
1.542963,-0.0794,0.9498,-0.0567,0.95
1.553175,-0.0809,0.9557,-0.0654,0.96
1.559724,-0.0761,0.9616,-0.0712,0.97
1.568695,-0.0707,0.9686,-0.0809,0.97
1.585191,-0.0659,0.9750,-0.0828,0.98
1.592955,-0.0674,0.9793,-0.0745,0.98
1.599944,-0.0743,0.9812,-0.0672,0.99
1.609596,-0.0807,0.9873,-0.0516,0.99
1.626360,-0.0935,0.9900,-0.0278,0.99
1.634090,-0.0954,0.9884,-0.0166,0.99
1.642588,-0.0955,0.9903,-0.0054,0.99
1.653770,-0.0901,0.9917,0.0005,1.00
1.667915,-0.0734,0.9870,-0.0052,0.99
1.675642,-0.0588,0.9877,-0.0070,0.99
1.685343,-0.0436,0.9933,-0.0152,0.99
1.692341,-0.0344,0.9939,-0.0204,0.99
1.709178,-0.0121,1.0160,-0.0255,1.02
1.717021,-0.0024,1.0312,-0.0293,1.03
1.726386,0.0091,1.0572,-0.0335,1.06
1.735852,0.0191,1.0915,-0.0400,1.09
