time,gFx,gFy,gFz,TgF
0.006287,0.0755,0.9983,0.0463,1.00
0.014572,0.0761,0.9944,0.0487,1.00
0.025153,0.0756,0.9894,0.0531,0.99
0.033262,0.0756,0.9885,0.0530,0.99
0.042108,0.0756,0.9875,0.0540,0.99
0.056028,0.0726,0.9909,0.0482,0.99
0.059984,0.0722,0.9909,0.0467,0.99
0.080345,0.0667,0.9962,0.0501,1.00
0.083489,0.0658,0.9958,0.0482,1.00
0.091722,0.0658,0.9967,0.0491,1.00
0.109021,0.0663,0.9952,0.0501,1.00
0.116750,0.0672,0.9977,0.0496,1.00
0.125434,0.0687,0.9943,0.0486,1.00
0.133760,0.0697,0.9943,0.0491,1.00
0.143831,0.0678,0.9963,0.0477,1.00
0.155248,0.0658,0.9953,0.0477,1.00
0.162891,0.0673,0.9948,0.0496,1.00
0.179498,0.0658,0.9928,0.0526,1.00
0.189770,0.0673,0.9928,0.0535,1.00
0.194119,0.0643,0.9918,0.0544,1.00
0.208986,0.0678,0.9913,0.0545,1.00
0.217718,0.0692,0.9928,0.0511,1.00
0.225722,0.0721,0.9977,0.0487,1.00
0.235754,0.0711,0.9982,0.0463,1.00
0.250005,0.0706,0.9982,0.0482,1.00
0.258250,0.0687,0.9972,0.0491,1.00
0.267115,0.0687,0.9958,0.0511,1.00
0.280903,0.0658,0.9933,0.0477,1.00
0.288239,0.0678,0.9923,0.0472,1.00
0.303487,0.0673,0.9933,0.0491,1.00
0.307945,0.0648,0.9938,0.0496,1.00
0.317824,0.0638,0.9947,0.0491,1.00
0.332988,0.0619,0.9952,0.0496,1.00
0.342537,0.0599,0.9947,0.0510,1.00
0.350808,0.0609,0.9947,0.0491,1.00
0.366949,0.0604,0.9956,0.0525,1.00
0.374924,0.0613,0.9956,0.0554,1.00
0.389384,0.0594,0.9975,0.0623,1.00
0.391840,0.0584,0.9971,0.0632,1.00
0.400510,0.0584,0.9985,0.0647,1.00
0.410357,0.0570,0.9985,0.0662,1.00
0.425630,0.0579,0.9945,0.0661,1.00
0.432882,0.0580,0.9902,0.0681,0.99
0.441893,0.0595,0.9902,0.0685,0.99
