
time,ax,ay,az,wx,wy,wz,
0.026921,0.0000,0.0000,0.0000,-0.0023,0.0983,-0.0150,
0.034255,0.0000,0.0000,0.0000,-0.0023,0.0983,-0.0150,
0.090936,0.0000,0.0000,0.0000,0.0214,0.0547,-0.0081,
0.099219,0.0000,0.0000,0.0000,0.0214,0.0547,-0.0081,
0.156605,0.0000,0.0000,0.0000,0.0264,0.0698,0.0102,
0.164888,0.0000,0.0000,0.0000,0.0264,0.0698,0.0102,
0.221747,0.0000,0.0000,0.0000,0.0168,0.0690,0.0021,
0.230382,0.0000,0.0000,0.0000,0.0168,0.0690,0.0021,
0.287976,0.0000,0.0000,0.0000,0.0244,0.0195,0.0006,
0.295517,0.0000,0.0000,0.0000,0.0244,0.0195,0.0006,
0.353362,0.0000,0.0000,0.0000,0.0386,-0.0255,0.0154,
0.361052,0.0000,0.0000,0.0000,0.0386,-0.0255,0.0154,
0.418440,0.0000,0.0000,0.0000,0.0938,-0.0111,-0.0383,
0.427638,0.0000,0.0000,0.0000,0.0938,-0.0111,-0.0383,
0.476890,0.0668,-0.1809,0.1156,0.0938,-0.0111,-0.0383,
0.483954,0.0668,-0.1809,0.1156,0.2042,0.1008,-0.2433,
0.493006,0.0668,-0.1809,0.1156,0.2042,0.1008,-0.2433,
0.542939,0.0769,-0.8010,0.1538,0.2042,0.1008,-0.2433,
0.550040,0.0769,-0.8010,0.1538,0.4203,0.0217,-0.6622,
0.557469,0.0769,-0.8010,0.1538,0.4203,0.0217,-0.6622,
0.607131,0.6034,-1.6402,0.0029,0.4203,0.0217,-0.6622,
0.615009,0.6034,-1.6402,0.0029,0.5524,-0.2639,-1.3227,
0.624813,0.6034,-1.6402,0.0029,0.5524,-0.2639,-1.3227,
0.673364,0.3711,-2.6272,0.6723,0.5524,-0.2639,-1.3227,
0.679675,0.3711,-2.6272,0.6723,0.8244,-0.4953,-2.1892,
0.688859,0.3711,-2.6272,0.6723,0.8244,-0.4953,-2.1892,
0.739272,-1.0035,-2.0070,0.6610,0.8244,-0.4953,-2.1892,
0.745661,-1.0035,-2.0070,0.6610,1.4267,-0.1348,-2.4464,
0.811398,-1.0035,-2.0070,0.6610,2.4271,0.4226,-1.3934,
0.819614,-1.0035,-2.0070,0.6610,2.4271,0.4226,-1.3934,
0.820358,-2.9106,0.8675,-0.5770,2.4271,0.4226,-1.3934,
0.876494,-2.9106,0.8675,-0.5770,3.2183,1.0628,-0.0713,
0.884820,-2.9106,0.8675,-0.5770,3.2183,1.0628,-0.0713,
0.901582,-0.3288,0.0321,1.9832,3.2183,1.0628,-0.0713,
0.942809,-0.3288,0.0321,1.9832,1.5145,-0.1830,-0.4331,
0.950697,-0.3288,0.0321,1.9832,1.5145,-0.1830,-0.4331,
0.967334,1.5615,0.9800,-2.4698,1.5145,-0.1830,-0.4331,
1.008248,1.5615,0.9800,-2.4698,-0.5579,-1.3810,-0.3245,
1.015927,1.5615,0.9800,-2.4698,-0.5579,-1.3810,-0.3245,
1.033271,-0.6807,-1.6262,0.2647,-0.5579,-1.3810,-0.3245,
1.074244,-0.6807,-1.6262,0.2647,-0.3523,-2.8132,0.1660,
1.082068,-0.6807,-1.6262,0.2647,-0.3523,-2.8132,0.1660,
1.098833,0.0384,1.0741,-4.6573,-0.3523,-2.8132,0.1660,
1.139767,0.0384,1.0741,-4.6573,-1.2891,1.1840,0.0437,
1.147610,0.0384,1.0741,-4.6573,-1.2891,1.1840,0.0437,
1.164614,1.4323,0.4602,1.5631,-1.2891,1.1840,0.0437,
1.204321,1.4323,0.4602,1.5631,-0.0058,1.2101,0.0426,
1.212810,1.4323,0.4602,1.5631,-0.0058,1.2101,0.0426,
1.229442,0.4199,0.2468,-0.5520,-0.0058,1.2101,0.0426,
1.270221,0.4199,0.2468,-0.5520,0.7335,1.5716,0.1026,
1.278031,0.4199,0.2468,-0.5520,0.7335,1.5716,0.1026,
1.294671,-0.5715,0.5000,-0.2790,0.7335,1.5716,0.1026,
