
time,ax,ay,az,wx,wy,wz,
0.035636,0.0000,0.0000,0.0000,-0.0922,-0.1544,0.0341,
0.043321,0.0000,0.0000,0.0000,-0.0922,-0.1544,0.0341,
0.100047,0.0000,0.0000,0.0000,-0.0606,-0.0907,0.0257,
0.109479,0.0000,0.0000,0.0000,-0.0606,-0.0907,0.0257,
0.165587,0.0000,0.0000,0.0000,-0.0451,-0.0391,0.0208,
0.174343,0.0000,0.0000,0.0000,-0.0451,-0.0391,0.0208,
0.231765,0.0000,0.0000,0.0000,-0.0353,-0.0382,0.0176,
0.240473,0.0000,0.0000,0.0000,-0.0353,-0.0382,0.0176,
0.297212,0.0000,0.0000,0.0000,-0.0183,-0.0247,0.0076,
0.306676,0.0000,0.0000,0.0000,-0.0183,-0.0247,0.0076,
0.363209,0.0000,0.0000,0.0000,-0.0070,-0.0231,-0.0032,
0.371046,0.0000,0.0000,0.0000,-0.0070,-0.0231,-0.0032,
0.428106,0.0000,0.0000,0.0000,-0.0017,-0.0554,-0.0073,
0.438493,0.0000,0.0000,0.0000,-0.0017,-0.0554,-0.0073,
0.485708,-0.0281,-0.1078,0.0160,-0.0017,-0.0554,-0.0073,
0.493309,-0.0281,-0.1078,0.0160,0.0105,-0.1836,-0.0031,
0.501624,-0.0281,-0.1078,0.0160,0.0105,-0.1836,-0.0031,
0.552141,-0.2197,-0.2779,0.4245,0.0105,-0.1836,-0.0031,
0.558720,-0.2197,-0.2779,0.4245,0.1567,-0.5084,0.0052,
0.567468,-0.2197,-0.2779,0.4245,0.1567,-0.5084,0.0052,
0.616447,-0.1562,-0.4318,0.1942,0.1567,-0.5084,0.0052,
0.624073,-0.1562,-0.4318,0.1942,0.3833,-0.5084,-0.0472,
0.632341,-0.1562,-0.4318,0.1942,0.3833,-0.5084,-0.0472,
0.681683,-0.3849,-0.6897,0.5283,0.3833,-0.5084,-0.0472,
0.689461,-0.3849,-0.6897,0.5283,0.7149,-0.5504,0.1066,
0.697749,-0.3849,-0.6897,0.5283,0.7149,-0.5504,0.1066,
0.747362,0.1350,-0.2040,0.0846,0.7149,-0.5504,0.1066,
0.756864,0.1350,-0.2040,0.0846,0.8929,-0.1512,0.0336,
0.763888,0.1350,-0.2040,0.0846,0.8929,-0.1512,0.0336,
0.812791,0.6709,0.0958,-0.4765,0.8929,-0.1512,0.0336,
0.820227,0.6709,0.0958,-0.4765,0.7546,0.4345,-0.0612,
0.828544,0.6709,0.0958,-0.4765,0.7546,0.4345,-0.0612,
0.878336,0.0897,0.1234,-0.6701,0.7546,0.4345,-0.0612,
0.886209,0.0897,0.1234,-0.6701,0.3622,0.2993,-0.0021,
0.894429,0.0897,0.1234,-0.6701,0.3622,0.2993,-0.0021,
0.944713,0.0468,0.2028,-0.6675,0.3622,0.2993,-0.0021,
0.951573,0.0468,0.2028,-0.6675,-0.1474,0.0817,-0.0594,
0.959882,0.0468,0.2028,-0.6675,-0.1474,0.0817,-0.0594,
1.009914,-0.0198,-0.2155,-0.2045,-0.1474,0.0817,-0.0594,
1.017166,-0.0198,-0.2155,-0.2045,-0.4279,-0.2140,-0.0733,
1.026289,-0.0198,-0.2155,-0.2045,-0.4279,-0.2140,-0.0733,
1.075486,-0.1468,-0.8827,0.2174,-0.4279,-0.2140,-0.0733,
1.082353,-0.1468,-0.8827,0.2174,-0.4542,-0.4531,-0.2175,
1.091760,-0.1468,-0.8827,0.2174,-0.4542,-0.4531,-0.2175,
1.141488,-0.2270,-0.8272,-0.2475,-0.4542,-0.4531,-0.2175,
1.148504,-0.2270,-0.8272,-0.2475,-0.3415,-0.2669,-0.3054,
1.157374,-0.2270,-0.8272,-0.2475,-0.3415,-0.2669,-0.3054,
1.206362,0.0841,-0.5442,-0.1571,-0.3415,-0.2669,-0.3054,
1.213942,0.0841,-0.5442,-0.1571,-0.1185,-0.2482,-0.3441,
1.223020,0.0841,-0.5442,-0.1571,-0.1185,-0.2482,-0.3441,
1.273240,-0.5012,-0.6256,0.3388,-0.1185,-0.2482,-0.3441,
1.279535,-0.5012,-0.6256,0.3388,0.2224,-0.0699,-0.5625,
1.288827,-0.5012,-0.6256,0.3388,0.2224,-0.0699,-0.5625,
1.345003,-0.5012,-0.6256,0.3388,0.2393,-0.4250,-0.8184,
1.402722,-1.7293,1.3563,-0.8539,0.2393,-0.4250,-0.8184,
1.409527,-1.7293,1.3563,-0.8539,-0.4519,-0.6368,-0.0104,
1.418546,-1.7293,1.3563,-0.8539,-0.4519,-0.6368,-0.0104,
1.475785,-1.7293,1.3563,-0.8539,-0.8951,-1.1600,-0.2691,
1.483738,-1.7293,1.3563,-0.8539,-0.8951,-1.1600,-0.2691,
1.484179,0.8170,0.8061,-0.7228,-0.8951,-1.1600,-0.2691,
1.541422,0.8170,0.8061,-0.7228,-1.1842,-1.0244,-0.5211,
1.549580,0.8170,0.8061,-0.7228,-1.1842,-1.0244,-0.5211,
1.550741,-0.0290,1.0775,0.2887,-1.1842,-1.0244,-0.5211,
1.607359,-0.0290,1.0775,0.2887,-0.5692,-1.6162,-0.1144,
1.615906,-0.0290,1.0775,0.2887,-0.5692,-1.6162,-0.1144,
1.616670,-1.3919,0.5453,-0.5414,-0.5692,-1.6162,-0.1144,
1.672852,-1.3919,0.5453,-0.5414,-0.3509,-0.6338,-0.2656,
1.681089,-1.3919,0.5453,-0.5414,-0.3509,-0.6338,-0.2656,
1.681976,0.8990,-1.9541,-1.3112,-0.3509,-0.6338,-0.2656,
1.737420,0.8990,-1.9541,-1.3112,0.5264,-0.1414,-0.5351,
1.746817,0.8990,-1.9541,-1.3112,0.5264,-0.1414,-0.5351,
1.748033,0.2102,-0.8993,-0.9225,0.5264,-0.1414,-0.5351,
1.802892,0.2102,-0.8993,-0.9225,-0.7202,-1.5403,-0.3031,
1.811191,0.2102,-0.8993,-0.9225,-0.7202,-1.5403,-0.3031,
1.812347,-0.0399,0.2215,0.5245,-0.7202,-1.5403,-0.3031,
1.868480,-0.0399,0.2215,0.5245,-0.4791,-0.9554,-0.3361,
1.876616,-0.0399,0.2215,0.5245,-0.4791,-0.9554,-0.3361,
1.877440,0.0122,0.5824,0.9869,-0.4791,-0.9554,-0.3361,
1.934398,0.0122,0.5824,0.9869,-0.4394,-1.3515,-0.0024,
1.942752,0.0122,0.5824,0.9869,-0.4394,-1.3515,-0.0024,
1.943621,0.2022,-0.3522,0.1394,-0.4394,-1.3515,-0.0024,
1.999881,0.2022,-0.3522,0.1394,-0.6710,-1.1012,-0.0698,
2.008084,0.2022,-0.3522,0.1394,-0.6710,-1.1012,-0.0698,
2.009369,0.3297,0.2701,0.8919,-0.6710,-1.1012,-0.0698,
2.065179,0.3297,0.2701,0.8919,-0.4870,-1.1041,-0.0916,
2.073702,0.3297,0.2701,0.8919,-0.4870,-1.1041,-0.0916,
2.074958,-0.3296,-0.0059,0.6481,-0.4870,-1.1041,-0.0916,
2.130189,-0.3296,-0.0059,0.6481,-0.5162,-1.0487,0.0394,
2.140155,-0.3296,-0.0059,0.6481,-0.5162,-1.0487,0.0394,
2.141267,-0.4296,0.0562,0.7958,-0.5162,-1.0487,0.0394,
2.196719,-0.4296,0.0562,0.7958,-0.4420,-1.1464,-0.0611,
2.204731,-0.4296,0.0562,0.7958,-0.4420,-1.1464,-0.0611,
2.205834,-0.1083,0.2533,1.2070,-0.4420,-1.1464,-0.0611,
2.261221,-0.1083,0.2533,1.2070,-0.3738,-1.0847,-0.0985,
2.270483,-0.1083,0.2533,1.2070,-0.3738,-1.0847,-0.0985,
2.271564,-0.7417,-0.0205,0.8582,-0.3738,-1.0847,-0.0985,
2.327002,-0.7417,-0.0205,0.8582,-0.3676,-0.8980,-0.0591,
2.335150,-0.7417,-0.0205,0.8582,-0.3676,-0.8980,-0.0591,
2.335902,-0.3876,-0.1153,1.1650,-0.3676,-0.8980,-0.0591,
2.393273,-0.3876,-0.1153,1.1650,-0.4178,-1.0658,-0.0864,
2.401069,-0.3876,-0.1153,1.1650,-0.4178,-1.0658,-0.0864,
2.402243,-0.4201,0.5137,0.6378,-0.4178,-1.0658,-0.0864,
2.458377,-0.4201,0.5137,0.6378,-1.4783,-0.1608,0.0954,
2.466111,-0.4201,0.5137,0.6378,-1.4783,-0.1608,0.0954,
2.467549,-0.3076,0.6195,1.1502,-1.4783,-0.1608,0.0954,
2.523139,-0.3076,0.6195,1.1502,-1.7692,-0.1196,-0.1860,
2.531472,-0.3076,0.6195,1.1502,-1.7692,-0.1196,-0.1860,
2.532181,0.6203,1.2213,0.9907,-1.7692,-0.1196,-0.1860,
2.589646,0.6203,1.2213,0.9907,-0.7920,-0.7295,-0.0750,
2.597816,0.6203,1.2213,0.9907,-0.7920,-0.7295,-0.0750,
2.598663,0.2863,1.2921,0.7977,-0.7920,-0.7295,-0.0750,
2.654219,0.2863,1.2921,0.7977,-0.9800,-0.6096,0.1246,
2.662444,0.2863,1.2921,0.7977,-0.9800,-0.6096,0.1246,
2.663214,-0.2574,-1.2230,-1.0197,-0.9800,-0.6096,0.1246,
2.719725,-0.2574,-1.2230,-1.0197,-0.4154,-0.1889,-0.1315,
2.728614,-0.2574,-1.2230,-1.0197,-0.4154,-0.1889,-0.1315,
2.729612,-0.0727,-0.9599,-1.7645,-0.4154,-0.1889,-0.1315,
2.784564,-0.0727,-0.9599,-1.7645,0.0631,-0.5134,-0.1197,
2.793610,-0.0727,-0.9599,-1.7645,0.0631,-0.5134,-0.1197,
2.794477,-0.0809,-0.0996,-0.2683,0.0631,-0.5134,-0.1197,
2.850422,-0.0809,-0.0996,-0.2683,0.2624,-0.4264,0.0541,
2.858775,-0.0809,-0.0996,-0.2683,0.2624,-0.4264,0.0541,
2.859501,0.0251,-0.6007,0.1149,0.2624,-0.4264,0.0541,
2.915905,0.0251,-0.6007,0.1149,0.3213,-0.4557,0.1275,
2.924285,0.0251,-0.6007,0.1149,0.3213,-0.4557,0.1275,
2.924907,0.5209,-1.0555,-0.0487,0.3213,-0.4557,0.1275,
2.980996,0.5209,-1.0555,-0.0487,-0.1258,-0.4852,0.0159,
2.990295,0.5209,-1.0555,-0.0487,-0.1258,-0.4852,0.0159,
2.991012,0.2581,-0.3873,1.0361,-0.1258,-0.4852,0.0159,
