
time,ax,ay,az,wx,wy,wz,
0.025099,0.0000,0.0000,0.0000,-0.0753,-0.1652,0.0475,
0.025403,0.0000,0.0000,0.0000,-0.0753,-0.1652,0.0475,
0.038671,0.0000,0.0000,0.0000,-0.0632,-0.0727,0.0577,
0.085488,0.0000,0.0000,0.0000,-0.0632,-0.0727,0.0577,
0.102731,0.0000,0.0000,0.0000,-0.0470,-0.0115,0.0638,
0.151571,0.0000,0.0000,0.0000,-0.0470,-0.0115,0.0638,
0.167407,0.0000,0.0000,0.0000,0.0334,-0.0721,0.0544,
0.217671,0.0000,0.0000,0.0000,0.0334,-0.0721,0.0544,
0.234089,0.0000,0.0000,0.0000,0.0547,0.0742,0.0018,
0.281691,0.0000,0.0000,0.0000,0.0547,0.0742,0.0018,
0.297969,0.0000,0.0000,0.0000,-0.1356,0.1461,0.0002,
0.348079,0.0000,0.0000,0.0000,-0.1356,0.1461,0.0002,
0.363616,0.0000,0.0000,0.0000,-0.1121,0.0878,0.1410,
0.413351,0.0000,0.0000,0.0000,-0.1121,0.0878,0.1410,
0.428839,0.0000,0.0000,0.0000,0.2622,0.5493,-0.0005,
0.479273,0.0000,0.0000,0.0000,0.2622,0.5493,-0.0005,
0.494894,0.0000,0.0000,0.0000,0.3410,0.8803,-0.0232,
0.496470,1.3051,-0.6969,-0.7859,0.3410,0.8803,-0.0232,
0.562102,1.3051,-0.6969,-0.7859,0.8567,-0.6802,0.9079,
0.577701,1.3051,-0.6969,-0.7859,0.8567,-0.6802,0.9079,
0.578878,-0.7128,0.5257,-0.3412,0.8567,-0.6802,0.9079,
0.593809,-0.7128,0.5257,-0.3412,0.8567,-0.6802,0.9079,
0.626043,-0.7128,0.5257,-0.3412,1.2970,-1.2190,1.3211,
0.659063,-0.7128,0.5257,-0.3412,1.2970,-1.2190,1.3211,
0.660342,-0.8514,1.7467,0.0139,1.2970,-1.2190,1.3211,
0.691752,-0.8514,1.7467,0.0139,1.0687,4.8549,-0.9378,
0.724599,-0.8514,1.7467,0.0139,1.0687,4.8549,-0.9378,
0.726431,-2.7197,0.3982,2.0032,1.0687,4.8549,-0.9378,
0.757000,-2.7197,0.3982,2.0032,0.1122,2.4118,-0.4372,
0.790136,-2.7197,0.3982,2.0032,0.1122,2.4118,-0.4372,
0.791751,-0.7332,-0.0912,4.0540,0.1122,2.4118,-0.4372,
0.823084,-0.7332,-0.0912,4.0540,0.2388,-1.7446,-0.6313,
0.855708,-0.7332,-0.0912,4.0540,0.2388,-1.7446,-0.6313,
0.856451,-0.7210,0.7638,1.5403,0.2388,-1.7446,-0.6313,
0.888313,-0.7210,0.7638,1.5403,-0.0189,-3.1374,0.2970,
0.921361,-0.7210,0.7638,1.5403,-0.0189,-3.1374,0.2970,
0.923654,0.7228,0.1514,0.1846,-0.0189,-3.1374,0.2970,
0.953501,0.7228,0.1514,0.1846,0.3615,-2.2200,0.5800,
0.986398,0.7228,0.1514,0.1846,0.3615,-2.2200,0.5800,
0.988015,2.8756,-1.2103,-0.4759,0.3615,-2.2200,0.5800,
1.019726,2.8756,-1.2103,-0.4759,0.7414,-0.1590,-0.0139,
1.052193,2.8756,-1.2103,-0.4759,0.7414,-0.1590,-0.0139,
1.053704,1.4664,0.1566,-1.1924,0.7414,-0.1590,-0.0139,
1.084874,1.4664,0.1566,-1.1924,0.4136,1.6926,-0.2020,
1.117776,1.4664,0.1566,-1.1924,0.4136,1.6926,-0.2020,
1.119353,-0.3500,1.9664,-0.4972,0.4136,1.6926,-0.2020,
1.149570,-0.3500,1.9664,-0.4972,-0.5883,1.2565,0.3343,
1.182885,-0.3500,1.9664,-0.4972,-0.5883,1.2565,0.3343,
1.184077,-0.2717,1.8102,-0.7786,-0.5883,1.2565,0.3343,
1.215671,-0.2717,1.8102,-0.7786,-2.4128,0.8635,1.0675,
1.247858,-0.2717,1.8102,-0.7786,-2.4128,0.8635,1.0675,
1.248989,-1.5704,-0.2190,-1.0820,-2.4128,0.8635,1.0675,
1.281069,-1.5704,-0.2190,-1.0820,-2.8588,0.9378,0.5350,
1.313661,-1.5704,-0.2190,-1.0820,-2.8588,0.9378,0.5350,
1.314434,-3.1415,0.5276,1.5597,-2.8588,0.9378,0.5350,
1.346261,-3.1415,0.5276,1.5597,-0.3065,1.1924,0.0060,
1.379678,-3.1415,0.5276,1.5597,-0.3065,1.1924,0.0060,
1.381145,-1.8141,-1.8884,0.3859,-0.3065,1.1924,0.0060,
1.411490,-1.8141,-1.8884,0.3859,0.1701,-0.7853,0.2445,
1.445050,-1.8141,-1.8884,0.3859,0.1701,-0.7853,0.2445,
1.446140,0.0259,-3.3166,-0.2561,0.1701,-0.7853,0.2445,
1.477938,0.0259,-3.3166,-0.2561,0.7068,0.5840,-0.3676,
1.513546,0.0259,-3.3166,-0.2561,0.7068,0.5840,-0.3676,
1.514500,0.6364,-1.4075,1.2610,0.7068,0.5840,-0.3676,
1.543232,0.6364,-1.4075,1.2610,0.5092,1.8692,-0.3503,
1.575698,0.6364,-1.4075,1.2610,0.5092,1.8692,-0.3503,
1.576864,0.1659,-0.5894,5.5962,0.5092,1.8692,-0.3503,
1.608210,0.1659,-0.5894,5.5962,-0.3053,-1.4247,0.5512,
1.641594,0.1659,-0.5894,5.5962,-0.3053,-1.4247,0.5512,
1.642870,-0.2158,1.8055,1.0877,-0.3053,-1.4247,0.5512,
1.673741,-0.2158,1.8055,1.0877,0.4265,-2.4668,0.3755,
1.706729,-0.2158,1.8055,1.0877,0.4265,-2.4668,0.3755,
1.707884,-2.0652,1.8321,-3.0649,0.4265,-2.4668,0.3755,
1.739335,-2.0652,1.8321,-3.0649,0.8181,0.0293,-0.0257,
1.772295,-2.0652,1.8321,-3.0649,0.8181,0.0293,-0.0257,
1.773607,-2.3431,2.0633,-2.5637,0.8181,0.0293,-0.0257,
1.805062,-2.3431,2.0633,-2.5637,1.4627,-0.4039,-0.5530,
1.837693,-2.3431,2.0633,-2.5637,1.4627,-0.4039,-0.5530,
1.838945,-1.3599,0.5787,-2.3531,1.4627,-0.4039,-0.5530,
1.870370,-1.3599,0.5787,-2.3531,0.1883,1.2173,-0.6145,
1.903523,-1.3599,0.5787,-2.3531,0.1883,1.2173,-0.6145,
1.904617,-0.0402,-0.6197,1.3425,0.1883,1.2173,-0.6145,
1.935874,-0.0402,-0.6197,1.3425,0.3987,0.6229,-0.6266,
1.968698,-0.0402,-0.6197,1.3425,0.3987,0.6229,-0.6266,
1.969757,-0.8673,0.0311,0.9924,0.3987,0.6229,-0.6266,
2.002874,-0.8673,0.0311,0.9924,0.2837,-1.2567,0.0289,
2.034233,-0.8673,0.0311,0.9924,0.2837,-1.2567,0.0289,
2.035967,1.0976,-0.4201,0.3789,0.2837,-1.2567,0.0289,
