
time,ax,ay,az,wx,wy,wz,
0.022833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.032235,0.0000,0.0000,0.0000,0.0843,-0.0722,-0.0000,
0.086323,0.0000,0.0000,0.0000,0.0843,-0.0722,-0.0000,
0.097652,0.0000,0.0000,0.0000,0.2903,-0.2280,-0.0434,
0.151244,0.0000,0.0000,0.0000,0.2903,-0.2280,-0.0434,
0.163208,0.0000,0.0000,0.0000,0.1080,-0.0728,-0.0095,
0.217374,0.0000,0.0000,0.0000,0.1080,-0.0728,-0.0095,
0.229587,0.0000,0.0000,0.0000,0.0797,-0.0318,-0.0156,
0.283154,0.0000,0.0000,0.0000,0.0797,-0.0318,-0.0156,
0.293774,0.0000,0.0000,0.0000,-0.1159,0.0115,-0.0026,
0.350854,0.0000,0.0000,0.0000,-0.1159,0.0115,-0.0026,
0.359169,0.0000,0.0000,0.0000,-0.2778,-0.0011,0.0536,
0.412525,0.0000,0.0000,0.0000,-0.2778,-0.0011,0.0536,
0.424724,0.0000,0.0000,0.0000,-0.0057,0.0328,-0.0351,
0.478784,0.0000,0.0000,0.0000,-0.0057,0.0328,-0.0351,
0.479506,0.1309,0.3343,-0.4661,-0.0057,0.0328,-0.0351,
0.491067,0.1309,0.3343,-0.4661,-0.3607,0.2285,0.0231,
0.543905,0.1309,0.3343,-0.4661,-0.3607,0.2285,0.0231,
0.544348,-0.2955,1.0463,-1.6965,-0.3607,0.2285,0.0231,
0.555687,-0.2955,1.0463,-1.6965,-1.6780,0.7708,0.0875,
0.609768,-0.2955,1.0463,-1.6965,-1.6780,0.7708,0.0875,
0.610680,0.2265,0.7944,1.3134,-1.6780,0.7708,0.0875,
0.621700,0.2265,0.7944,1.3134,-1.3404,0.7335,0.2653,
0.675508,0.2265,0.7944,1.3134,-1.3404,0.7335,0.2653,
0.676285,-0.9304,-1.9155,0.1196,-1.3404,0.7335,0.2653,
0.687438,-0.9304,-1.9155,0.1196,0.2775,-0.3578,0.0490,
0.740815,-0.9304,-1.9155,0.1196,0.2775,-0.3578,0.0490,
0.741634,-0.2505,-1.6078,0.1161,0.2775,-0.3578,0.0490,
0.752611,-0.2505,-1.6078,0.1161,0.2744,0.2650,0.1182,
0.806608,-0.2505,-1.6078,0.1161,0.2744,0.2650,0.1182,
0.807889,-0.5248,-0.1617,1.2684,0.2744,0.2650,0.1182,
0.818018,-0.5248,-0.1617,1.2684,0.3940,-0.2958,0.0817,
0.871520,-0.5248,-0.1617,1.2684,0.3940,-0.2958,0.0817,
0.872344,-0.5505,-1.3940,0.6660,0.3940,-0.2958,0.0817,
0.883623,-0.5505,-1.3940,0.6660,0.5527,-1.8851,0.7636,
0.938297,-0.5505,-1.3940,0.6660,0.5527,-1.8851,0.7636,
0.939985,1.4600,0.4081,1.2880,0.5527,-1.8851,0.7636,
0.949042,1.4600,0.4081,1.2880,0.4256,-1.2775,0.6759,
1.003568,1.4600,0.4081,1.2880,0.4256,-1.2775,0.6759,
1.004795,-1.1448,0.2533,4.3871,0.4256,-1.2775,0.6759,
1.015477,-1.1448,0.2533,4.3871,-0.0716,3.0995,0.6468,
