
time,ax,ay,az,wx,wy,wz,
0.024565,0.0000,0.0000,0.0000,-0.0974,-0.0615,-0.0131,
0.024951,0.0000,0.0000,0.0000,-0.0974,-0.0615,-0.0131,
0.034942,0.0000,0.0000,0.0000,-0.0864,-0.0298,-0.0107,
0.084410,0.0000,0.0000,0.0000,-0.0864,-0.0298,-0.0107,
0.100069,0.0000,0.0000,0.0000,-0.0754,0.0544,-0.0499,
0.149505,0.0000,0.0000,0.0000,-0.0754,0.0544,-0.0499,
0.165871,0.0000,0.0000,0.0000,0.0060,0.0843,-0.0684,
0.215733,0.0000,0.0000,0.0000,0.0060,0.0843,-0.0684,
0.231562,0.0000,0.0000,0.0000,0.0344,0.0391,-0.0087,
0.281597,0.0000,0.0000,0.0000,0.0344,0.0391,-0.0087,
0.297467,0.0000,0.0000,0.0000,0.1130,0.1619,-0.0845,
0.347639,0.0000,0.0000,0.0000,0.1130,0.1619,-0.0845,
0.362969,0.0000,0.0000,0.0000,0.2498,0.3752,-0.5945,
0.411757,0.0000,0.0000,0.0000,0.2498,0.3752,-0.5945,
0.428413,0.0000,0.0000,0.0000,0.3199,0.0927,-0.9740,
0.477830,0.0000,0.0000,0.0000,0.3199,0.0927,-0.9740,
0.493945,0.0000,0.0000,0.0000,0.1969,0.3062,-0.7479,
0.495498,-1.2376,0.0752,-1.0391,0.1969,0.3062,-0.7479,
0.543116,-1.2376,0.0752,-1.0391,0.1969,0.3062,-0.7479,
0.558733,-1.2376,0.0752,-1.0391,-0.2268,0.3175,-0.4861,
0.560515,-1.7542,-1.6626,-1.0743,-0.2268,0.3175,-0.4861,
0.608585,-1.7542,-1.6626,-1.0743,-0.2268,0.3175,-0.4861,
0.624883,-1.7542,-1.6626,-1.0743,-0.1257,0.3351,-0.6716,
0.626729,-0.8360,1.4314,-0.3749,-0.1257,0.3351,-0.6716,
0.674691,-0.8360,1.4314,-0.3749,-0.1257,0.3351,-0.6716,
0.690855,-0.8360,1.4314,-0.3749,0.2709,0.2891,-1.0006,
0.692737,-1.2536,3.0352,1.3884,0.2709,0.2891,-1.0006,
0.739430,-1.2536,3.0352,1.3884,0.2709,0.2891,-1.0006,
0.756069,-1.2536,3.0352,1.3884,0.0165,-0.0024,-0.4117,
0.757560,-2.5884,0.3949,-1.0594,0.0165,-0.0024,-0.4117,
