
time,ax,ay,az,wx,wy,wz,
0.022729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.034013,0.0000,0.0000,0.0000,0.5764,0.5536,-0.4009,
0.073147,0.0000,0.0000,0.0000,0.5764,0.5536,-0.4009,
0.097831,0.0000,0.0000,0.0000,0.5898,0.6187,-0.3432,
0.139854,0.0000,0.0000,0.0000,0.5898,0.6187,-0.3432,
0.164040,0.0000,0.0000,0.0000,0.5547,0.8580,-0.1810,
0.204813,0.0000,0.0000,0.0000,0.5547,0.8580,-0.1810,
0.229231,0.0000,0.0000,0.0000,0.0779,0.5901,0.2300,
0.270235,0.0000,0.0000,0.0000,0.0779,0.5901,0.2300,
0.294168,0.0000,0.0000,0.0000,-0.0898,0.3476,0.4519,
0.336408,0.0000,0.0000,0.0000,-0.0898,0.3476,0.4519,
0.359749,0.0000,0.0000,0.0000,0.1842,0.8114,0.4989,
0.402709,0.0000,0.0000,0.0000,0.1842,0.8114,0.4989,
0.425789,0.0000,0.0000,0.0000,-0.2595,0.9276,-0.0182,
0.466617,0.0000,0.0000,0.0000,-0.2595,0.9276,-0.0182,
0.483222,-0.6446,0.0841,1.9490,-0.2595,0.9276,-0.0182,
0.490955,-0.6446,0.0841,1.9490,0.2457,1.2668,-0.0719,
0.532675,-0.6446,0.0841,1.9490,0.2457,1.2668,-0.0719,
0.549530,-0.7508,-1.4536,0.9551,0.2457,1.2668,-0.0719,
0.557439,-0.7508,-1.4536,0.9551,0.7871,1.7455,-0.2146,
0.598050,-0.7508,-1.4536,0.9551,0.7871,1.7455,-0.2146,
0.614951,0.3019,-3.0653,2.0526,0.7871,1.7455,-0.2146,
0.622106,0.3019,-3.0653,2.0526,1.0369,2.1855,-0.5182,
0.663044,0.3019,-3.0653,2.0526,1.0369,2.1855,-0.5182,
0.680246,-0.5442,-3.4124,1.0168,1.0369,2.1855,-0.5182,
0.687533,-0.5442,-3.4124,1.0168,1.2920,1.8085,-0.2845,
0.728070,-0.5442,-3.4124,1.0168,1.2920,1.8085,-0.2845,
0.745326,-0.3115,3.6946,0.9839,1.2920,1.8085,-0.2845,
0.753467,-0.3115,3.6946,0.9839,0.6234,0.6144,-0.5513,
0.794043,-0.3115,3.6946,0.9839,0.6234,0.6144,-0.5513,
0.811126,-1.0924,1.9661,1.9740,0.6234,0.6144,-0.5513,
0.818624,-1.0924,1.9661,1.9740,0.4491,1.2002,-0.0603,
0.859488,-1.0924,1.9661,1.9740,0.4491,1.2002,-0.0603,
0.877441,-1.0847,2.7151,3.5002,0.4491,1.2002,-0.0603,
0.883598,-1.0847,2.7151,3.5002,0.1382,1.1880,0.0693,
0.925369,-1.0847,2.7151,3.5002,0.1382,1.1880,0.0693,
0.942614,0.5011,2.6853,-1.0560,0.1382,1.1880,0.0693,
0.950424,0.5011,2.6853,-1.0560,1.2501,0.8505,-0.1964,
0.990993,0.5011,2.6853,-1.0560,1.2501,0.8505,-0.1964,
1.008618,-1.3065,-4.4127,-1.7078,1.2501,0.8505,-0.1964,
1.016005,-1.3065,-4.4127,-1.7078,1.1622,1.2833,-0.5652,
1.056149,-1.3065,-4.4127,-1.7078,1.1622,1.2833,-0.5652,
1.074094,0.6868,1.4568,-1.2222,1.1622,1.2833,-0.5652,
1.080229,0.6868,1.4568,-1.2222,1.0820,0.3680,-0.0452,
1.122506,0.6868,1.4568,-1.2222,1.0820,0.3680,-0.0452,
1.138436,-0.9380,-0.3713,-1.4482,1.0820,0.3680,-0.0452,
1.145559,-0.9380,-0.3713,-1.4482,0.6981,0.0945,0.1794,
1.186914,-0.9380,-0.3713,-1.4482,0.6981,0.0945,0.1794,
1.203988,-0.2896,-0.7398,-0.3190,0.6981,0.0945,0.1794,
1.210895,-0.2896,-0.7398,-0.3190,0.4102,-0.0625,-0.0137,
1.252810,-0.2896,-0.7398,-0.3190,0.4102,-0.0625,-0.0137,
1.269510,-0.2778,-1.2225,0.7728,0.4102,-0.0625,-0.0137,
1.276872,-0.2778,-1.2225,0.7728,0.4502,-0.3610,-0.0333,
1.318028,-0.2778,-1.2225,0.7728,0.4502,-0.3610,-0.0333,
1.334812,0.6003,0.8025,1.9131,0.4502,-0.3610,-0.0333,
1.341453,0.6003,0.8025,1.9131,0.2773,-0.1982,-0.2915,
1.383696,0.6003,0.8025,1.9131,0.2773,-0.1982,-0.2915,
1.400631,1.0553,2.2992,0.8493,0.2773,-0.1982,-0.2915,
1.409065,1.0553,2.2992,0.8493,0.0165,-0.1732,0.1662,
1.449124,1.0553,2.2992,0.8493,0.0165,-0.1732,0.1662,
1.465810,-0.3594,2.8029,-2.8969,0.0165,-0.1732,0.1662,
1.473554,-0.3594,2.8029,-2.8969,-0.9939,-0.0298,0.9507,
1.515244,-0.3594,2.8029,-2.8969,-0.9939,-0.0298,0.9507,
1.532865,-3.5848,-0.5695,-0.2064,-0.9939,-0.0298,0.9507,
1.538100,-3.5848,-0.5695,-0.2064,-0.9180,0.1933,-0.0423,
1.579876,-3.5848,-0.5695,-0.2064,-0.9180,0.1933,-0.0423,
1.596381,0.6739,0.2342,-0.0972,-0.9180,0.1933,-0.0423,
1.603463,0.6739,0.2342,-0.0972,-0.9951,0.8274,-0.2935,
1.645678,0.6739,0.2342,-0.0972,-0.9951,0.8274,-0.2935,
1.662210,-2.5693,-0.8670,0.9715,-0.9951,0.8274,-0.2935,
1.669349,-2.5693,-0.8670,0.9715,-0.4354,0.5107,0.2743,
1.710548,-2.5693,-0.8670,0.9715,-0.4354,0.5107,0.2743,
