
time,ax,ay,az,wx,wy,wz,
0.024637,0.0000,0.0000,0.0000,-0.0825,-0.0799,0.0551,
0.024921,0.0000,0.0000,0.0000,-0.0825,-0.0799,0.0551,
0.032319,0.0000,0.0000,0.0000,-0.0605,-0.0322,0.0614,
0.078294,0.0000,0.0000,0.0000,-0.0605,-0.0322,0.0614,
0.097882,0.0000,0.0000,0.0000,-0.0556,-0.0246,0.0501,
0.144905,0.0000,0.0000,0.0000,-0.0556,-0.0246,0.0501,
0.163389,0.0000,0.0000,0.0000,-0.0127,-0.0283,0.0295,
0.209231,0.0000,0.0000,0.0000,-0.0127,-0.0283,0.0295,
0.229028,0.0000,0.0000,0.0000,-0.0130,-0.0243,0.0380,
0.275236,0.0000,0.0000,0.0000,-0.0130,-0.0243,0.0380,
0.295263,0.0000,0.0000,0.0000,-0.0057,0.0029,0.0279,
0.340638,0.0000,0.0000,0.0000,-0.0057,0.0029,0.0279,
0.360511,0.0000,0.0000,0.0000,0.0128,0.0162,-0.0015,
0.406144,0.0000,0.0000,0.0000,0.0128,0.0162,-0.0015,
0.426490,0.0000,0.0000,0.0000,0.0990,0.0531,-0.0457,
0.472757,0.0000,0.0000,0.0000,0.0990,0.0531,-0.0457,
0.488823,0.3052,-0.3627,0.0068,0.0990,0.0531,-0.0457,
0.490728,0.3052,-0.3627,0.0068,0.1854,0.1724,-0.1155,
0.536954,0.3052,-0.3627,0.0068,0.1854,0.1724,-0.1155,
0.554439,0.0855,-1.1051,-0.5690,0.1854,0.1724,-0.1155,
0.556590,0.0855,-1.1051,-0.5690,0.1845,0.3586,-0.3247,
0.603403,0.0855,-1.1051,-0.5690,0.1845,0.3586,-0.3247,
0.619628,-0.4447,-1.6429,-1.3839,0.1845,0.3586,-0.3247,
0.623263,-0.4447,-1.6429,-1.3839,0.2161,1.3967,-0.5967,
0.687966,-0.4447,-1.6429,-1.3839,-0.0794,0.5901,-0.5492,
0.717282,-0.4447,-1.6429,-1.3839,-0.0794,0.5901,-0.5492,
0.718425,0.4476,1.9283,-0.3201,-0.0794,0.5901,-0.5492,
0.733599,0.4476,1.9283,-0.3201,-0.0794,0.5901,-0.5492,
0.753626,0.4476,1.9283,-0.3201,0.0111,0.3209,-0.0816,
0.799489,0.4476,1.9283,-0.3201,0.0111,0.3209,-0.0816,
0.800439,0.2331,0.4224,-0.1299,0.0111,0.3209,-0.0816,
0.819531,0.2331,0.4224,-0.1299,-0.0606,0.3804,-0.0098,
0.864595,0.2331,0.4224,-0.1299,-0.0606,0.3804,-0.0098,
0.865993,-0.0138,0.0839,0.0963,-0.0606,0.3804,-0.0098,
0.884708,-0.0138,0.0839,0.0963,0.0446,0.3957,-0.0951,
0.930224,-0.0138,0.0839,0.0963,0.0446,0.3957,-0.0951,
0.931531,-0.3630,0.9782,0.3613,0.0446,0.3957,-0.0951,
0.949918,-0.3630,0.9782,0.3613,0.0516,0.5734,0.1894,
0.995668,-0.3630,0.9782,0.3613,0.0516,0.5734,0.1894,
0.997034,-0.3550,-0.9462,0.6266,0.0516,0.5734,0.1894,
1.014826,-0.3550,-0.9462,0.6266,0.0038,0.8882,0.0878,
1.060553,-0.3550,-0.9462,0.6266,0.0038,0.8882,0.0878,
1.061693,-0.0670,-0.5148,0.8965,0.0038,0.8882,0.0878,
1.080466,-0.0670,-0.5148,0.8965,0.0362,0.6497,-0.1064,
1.126592,-0.0670,-0.5148,0.8965,0.0362,0.6497,-0.1064,
1.127667,-0.4563,-0.4844,0.9516,0.0362,0.6497,-0.1064,
1.146024,-0.4563,-0.4844,0.9516,0.0177,0.3615,-0.2107,
1.192598,-0.4563,-0.4844,0.9516,0.0177,0.3615,-0.2107,
1.194511,-0.7686,-0.9308,1.3951,0.0177,0.3615,-0.2107,
1.214800,-0.7686,-0.9308,1.3951,0.0560,0.0206,-0.1668,
