
time,ax,ay,az,wx,wy,wz,
0.023782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.030665,0.0000,0.0000,0.0000,-0.0959,-0.2839,-0.0845,
0.077103,0.0000,0.0000,0.0000,-0.0959,-0.2839,-0.0845,
0.096588,0.0000,0.0000,0.0000,-0.0915,0.0069,-0.1008,
0.142032,0.0000,0.0000,0.0000,-0.0915,0.0069,-0.1008,
0.161779,0.0000,0.0000,0.0000,-0.0567,-0.0628,-0.0250,
0.208098,0.0000,0.0000,0.0000,-0.0567,-0.0628,-0.0250,
0.227900,0.0000,0.0000,0.0000,-0.0464,-0.2350,0.0067,
0.273214,0.0000,0.0000,0.0000,-0.0464,-0.2350,0.0067,
0.293191,0.0000,0.0000,0.0000,-0.2350,-0.2906,0.0281,
0.339300,0.0000,0.0000,0.0000,-0.2350,-0.2906,0.0281,
0.358665,0.0000,0.0000,0.0000,-0.3696,-0.2561,0.0263,
0.405197,0.0000,0.0000,0.0000,-0.3696,-0.2561,0.0263,
0.424533,0.0000,0.0000,0.0000,-0.2385,-0.2975,-0.0221,
0.469513,0.0000,0.0000,0.0000,-0.2385,-0.2975,-0.0221,
0.487395,0.1233,-0.5958,1.6520,-0.2385,-0.2975,-0.0221,
0.491321,0.1233,-0.5958,1.6520,-0.7957,-0.0768,-0.3622,
0.535289,0.1233,-0.5958,1.6520,-0.7957,-0.0768,-0.3622,
0.552311,0.4152,-0.1506,1.8567,-0.7957,-0.0768,-0.3622,
0.556514,0.4152,-0.1506,1.8567,-0.5641,-0.6626,-0.3632,
0.601022,0.4152,-0.1506,1.8567,-0.5641,-0.6626,-0.3632,
0.617694,-0.0630,-0.5415,0.5538,-0.5641,-0.6626,-0.3632,
0.620850,-0.0630,-0.5415,0.5538,-0.2640,-1.0040,-0.5505,
0.666838,-0.0630,-0.5415,0.5538,-0.2640,-1.0040,-0.5505,
0.683376,0.6955,-0.5592,0.6492,-0.2640,-1.0040,-0.5505,
0.686071,0.6955,-0.5592,0.6492,0.1376,-0.3454,-0.3089,
0.731684,0.6955,-0.5592,0.6492,0.1376,-0.3454,-0.3089,
0.749010,0.4732,-1.1165,0.6162,0.1376,-0.3454,-0.3089,
0.751613,0.4732,-1.1165,0.6162,0.0582,-0.6507,-0.1984,
0.798099,0.4732,-1.1165,0.6162,0.0582,-0.6507,-0.1984,
0.814947,0.5469,-0.4986,1.5230,0.0582,-0.6507,-0.1984,
0.817712,0.5469,-0.4986,1.5230,0.5217,-0.6286,-0.1544,
