
time,ax,ay,az,wx,wy,wz,
0.021572,0.0000,0.0000,0.0000,0.0548,0.0299,0.0185,
0.021807,0.0000,0.0000,0.0000,0.0548,0.0299,0.0185,
0.028864,0.0000,0.0000,0.0000,0.0707,0.0493,0.0331,
0.082680,0.0000,0.0000,0.0000,0.0707,0.0493,0.0331,
0.094306,0.0000,0.0000,0.0000,0.1428,0.0774,-0.0214,
0.148804,0.0000,0.0000,0.0000,0.1428,0.0774,-0.0214,
0.160936,0.0000,0.0000,0.0000,0.4000,0.0854,-0.0748,
0.214304,0.0000,0.0000,0.0000,0.4000,0.0854,-0.0748,
0.225927,0.0000,0.0000,0.0000,0.6877,0.2056,-0.1182,
0.280043,0.0000,0.0000,0.0000,0.6877,0.2056,-0.1182,
0.291808,0.0000,0.0000,0.0000,0.6944,0.1391,-0.3583,
0.345221,0.0000,0.0000,0.0000,0.6944,0.1391,-0.3583,
0.357549,0.0000,0.0000,0.0000,0.5528,0.2248,-0.7666,
0.411312,0.0000,0.0000,0.0000,0.5528,0.2248,-0.7666,
0.422952,0.0000,0.0000,0.0000,0.4178,-0.0263,-1.1217,
0.475983,0.0000,0.0000,0.0000,0.4178,-0.0263,-1.1217,
0.476742,-2.1729,-1.7949,-1.0989,0.4178,-0.0263,-1.1217,
0.487848,-2.1729,-1.7949,-1.0989,0.0205,-0.5614,-1.0235,
0.553712,-2.1729,-1.7949,-1.0989,-0.1688,-1.1733,-0.7677,
0.608101,-2.1729,-1.7949,-1.0989,-0.1688,-1.1733,-0.7677,
0.608852,-0.7942,-0.4789,-2.3925,-0.1688,-1.1733,-0.7677,
0.618563,-0.7942,-0.4789,-2.3925,0.2779,-0.7866,-0.4548,
0.623594,-0.7942,-0.4789,-2.3925,0.2779,-0.7866,-0.4548,
0.684582,-0.7942,-0.4789,-2.3925,-0.3395,-0.6370,-0.0180,
0.691799,-0.7942,-0.4789,-2.3925,-0.3395,-0.6370,-0.0180,
0.692585,-0.3388,-0.1040,-1.6938,-0.3395,-0.6370,-0.0180,
0.750348,-0.3388,-0.1040,-1.6938,-0.2963,-0.4554,0.4360,
0.755073,-0.3388,-0.1040,-1.6938,-0.2963,-0.4554,0.4360,
0.755768,-2.8150,2.5397,-2.2957,-0.2963,-0.4554,0.4360,
0.815441,-2.8150,2.5397,-2.2957,-0.6287,-0.7271,0.3241,
0.820537,-2.8150,2.5397,-2.2957,-0.6287,-0.7271,0.3241,
0.821887,-2.1555,1.9558,1.8174,-0.6287,-0.7271,0.3241,
0.881920,-2.1555,1.9558,1.8174,-0.6332,1.0331,0.0289,
0.885438,-2.1555,1.9558,1.8174,-0.6332,1.0331,0.0289,
0.886425,-0.5645,0.4024,1.3318,-0.6332,1.0331,0.0289,
0.947068,-0.5645,0.4024,1.3318,-0.6443,1.3152,-0.6329,
0.950844,-0.5645,0.4024,1.3318,-0.6443,1.3152,-0.6329,
0.951909,-2.9724,1.7524,-1.9399,-0.6443,1.3152,-0.6329,
1.013099,-2.9724,1.7524,-1.9399,-0.6596,0.9507,-0.3306,
1.017467,-2.9724,1.7524,-1.9399,-0.6596,0.9507,-0.3306,
1.018615,-4.2233,-0.5945,-0.6777,-0.6596,0.9507,-0.3306,
1.077122,-4.2233,-0.5945,-0.6777,-0.4705,0.3257,-0.1758,
1.082090,-4.2233,-0.5945,-0.6777,-0.4705,0.3257,-0.1758,
1.082997,-3.5827,-0.2048,-0.5608,-0.4705,0.3257,-0.1758,
1.143256,-3.5827,-0.2048,-0.5608,-0.3723,0.3022,-0.3144,
1.148612,-3.5827,-0.2048,-0.5608,-0.3723,0.3022,-0.3144,
1.149542,-2.6233,0.2986,-0.8251,-0.3723,0.3022,-0.3144,
1.208475,-2.6233,0.2986,-0.8251,-0.0864,0.3548,-0.5345,
1.212655,-2.6233,0.2986,-0.8251,-0.0864,0.3548,-0.5345,
1.214602,-2.9751,0.0957,0.1319,-0.0864,0.3548,-0.5345,
1.273455,-2.9751,0.0957,0.1319,0.1029,0.6510,-0.8364,
1.277921,-2.9751,0.0957,0.1319,0.1029,0.6510,-0.8364,
1.278610,-1.7807,-1.0406,-1.1045,0.1029,0.6510,-0.8364,
1.339839,-1.7807,-1.0406,-1.1045,0.2242,0.7677,-0.1135,
1.343864,-1.7807,-1.0406,-1.1045,0.2242,0.7677,-0.1135,
1.345003,-3.3312,-0.7422,-0.5201,0.2242,0.7677,-0.1135,
1.405540,-3.3312,-0.7422,-0.5201,-0.1119,0.3001,0.0556,
1.410490,-3.3312,-0.7422,-0.5201,-0.1119,0.3001,0.0556,
1.411297,-3.5285,-1.3076,0.8357,-0.1119,0.3001,0.0556,
1.470749,-3.5285,-1.3076,0.8357,0.4038,-0.0486,0.1683,
1.474426,-3.5285,-1.3076,0.8357,0.4038,-0.0486,0.1683,
1.475307,-2.4685,-1.2175,0.6075,0.4038,-0.0486,0.1683,
1.535366,-2.4685,-1.2175,0.6075,0.3630,0.1329,0.1561,
1.540927,-2.4685,-1.2175,0.6075,0.3630,0.1329,0.1561,
1.542327,-3.7863,1.8838,0.1073,0.3630,0.1329,0.1561,
1.600980,-3.7863,1.8838,0.1073,0.1680,-1.4696,-0.2228,
1.606668,-3.7863,1.8838,0.1073,0.1680,-1.4696,-0.2228,
1.607744,-6.5623,3.7718,-1.6695,0.1680,-1.4696,-0.2228,
1.667008,-6.5623,3.7718,-1.6695,0.3757,-0.7359,0.5774,
1.670948,-6.5623,3.7718,-1.6695,0.3757,-0.7359,0.5774,
1.671872,0.1958,-5.7160,-3.9952,0.3757,-0.7359,0.5774,
1.731929,0.1958,-5.7160,-3.9952,0.9021,-0.6984,0.2957,
1.736147,0.1958,-5.7160,-3.9952,0.9021,-0.6984,0.2957,
1.737157,-1.8175,2.4632,-0.6983,0.9021,-0.6984,0.2957,
1.798275,-1.8175,2.4632,-0.6983,0.6460,-1.0166,0.4991,
1.802109,-1.8175,2.4632,-0.6983,0.6460,-1.0166,0.4991,
1.803316,-3.5943,-1.9963,-3.1528,0.6460,-1.0166,0.4991,
1.863588,-3.5943,-1.9963,-3.1528,0.5345,-0.7469,0.3355,
1.867746,-3.5943,-1.9963,-3.1528,0.5345,-0.7469,0.3355,
1.868852,-1.8730,1.4003,-0.5032,0.5345,-0.7469,0.3355,
1.928643,-1.8730,1.4003,-0.5032,0.3645,-1.4267,0.3031,
1.932965,-1.8730,1.4003,-0.5032,0.3645,-1.4267,0.3031,
1.933894,-2.4667,-0.0148,0.3158,0.3645,-1.4267,0.3031,
1.993848,-2.4667,-0.0148,0.3158,-0.0970,-1.5634,0.2598,
1.999257,-2.4667,-0.0148,0.3158,-0.0970,-1.5634,0.2598,
