
time,ax,ay,az,wx,wy,wz,
0.018839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.028349,0.0000,0.0000,0.0000,-0.0644,-0.0437,0.0538,
0.082628,0.0000,0.0000,0.0000,-0.0644,-0.0437,0.0538,
0.093691,0.0000,0.0000,0.0000,-0.0576,-0.0510,0.0635,
0.147962,0.0000,0.0000,0.0000,-0.0576,-0.0510,0.0635,
0.160130,0.0000,0.0000,0.0000,-0.0144,-0.0231,0.0425,
0.213919,0.0000,0.0000,0.0000,-0.0144,-0.0231,0.0425,
0.225953,0.0000,0.0000,0.0000,0.0287,0.0156,0.0191,
0.279038,0.0000,0.0000,0.0000,0.0287,0.0156,0.0191,
0.291442,0.0000,0.0000,0.0000,0.0368,0.0157,0.0212,
0.344317,0.0000,0.0000,0.0000,0.0368,0.0157,0.0212,
0.356597,0.0000,0.0000,0.0000,0.0324,0.0134,0.0150,
0.411071,0.0000,0.0000,0.0000,0.0324,0.0134,0.0150,
0.421861,0.0000,0.0000,0.0000,-0.0104,-0.0754,0.0009,
0.476425,0.0000,0.0000,0.0000,-0.0104,-0.0754,0.0009,
0.477490,0.2407,-0.7153,0.1230,-0.0104,-0.0754,0.0009,
0.487236,0.2407,-0.7153,0.1230,-0.0057,-0.2188,-0.0515,
0.542312,0.2407,-0.7153,0.1230,-0.0057,-0.2188,-0.0515,
0.543127,0.4660,-1.1178,0.1244,-0.0057,-0.2188,-0.0515,
0.552910,0.4660,-1.1178,0.1244,-0.0308,0.0089,-0.1933,
0.607328,0.4660,-1.1178,0.1244,-0.0308,0.0089,-0.1933,
0.608667,-0.0453,-0.2404,0.1379,-0.0308,0.0089,-0.1933,
0.619718,-0.0453,-0.2404,0.1379,-0.0331,-0.0980,-0.4892,
0.672055,-0.0453,-0.2404,0.1379,-0.0331,-0.0980,-0.4892,
0.673871,-0.3897,-0.9547,0.9573,-0.0331,-0.0980,-0.4892,
0.684864,-0.3897,-0.9547,0.9573,-0.0695,-0.3709,-0.3001,
0.749100,-0.3897,-0.9547,0.9573,-0.3114,-0.4041,-0.4649,
0.770444,-0.3897,-0.9547,0.9573,-0.3114,-0.4041,-0.4649,
0.771509,-1.6083,1.0367,1.8206,-0.3114,-0.4041,-0.4649,
0.786618,-1.6083,1.0367,1.8206,-0.3114,-0.4041,-0.4649,
0.815011,-1.6083,1.0367,1.8206,-0.3490,0.2291,-0.7663,
0.852111,-1.6083,1.0367,1.8206,-0.3490,0.2291,-0.7663,
0.853537,0.0274,2.1102,1.3248,-0.3490,0.2291,-0.7663,
0.880376,0.0274,2.1102,1.3248,-0.0681,-0.0832,-0.2698,
0.916896,0.0274,2.1102,1.3248,-0.0681,-0.0832,-0.2698,
0.918606,0.1187,0.3717,1.6447,-0.0681,-0.0832,-0.2698,
0.945940,0.1187,0.3717,1.6447,0.1032,-0.3951,-0.1385,
0.983530,0.1187,0.3717,1.6447,0.1032,-0.3951,-0.1385,
0.984997,-0.2905,-0.7200,0.8704,0.1032,-0.3951,-0.1385,
1.011392,-0.2905,-0.7200,0.8704,-0.0593,-0.4429,-0.2798,
1.048376,-0.2905,-0.7200,0.8704,-0.0593,-0.4429,-0.2798,
1.049892,1.1090,-1.1110,1.5678,-0.0593,-0.4429,-0.2798,
1.076984,1.1090,-1.1110,1.5678,-0.0402,-0.1729,-0.2543,
1.113851,1.1090,-1.1110,1.5678,-0.0402,-0.1729,-0.2543,
1.115020,0.0494,-0.7858,2.3196,-0.0402,-0.1729,-0.2543,
1.142671,0.0494,-0.7858,2.3196,0.0702,-0.1425,-0.2280,
1.180007,0.0494,-0.7858,2.3196,0.0702,-0.1425,-0.2280,
1.182276,-1.0999,0.0332,3.4611,0.0702,-0.1425,-0.2280,
1.208427,-1.0999,0.0332,3.4611,0.0564,-0.3421,0.3822,
1.245162,-1.0999,0.0332,3.4611,0.0564,-0.3421,0.3822,
1.246794,-1.3963,3.4041,0.9675,0.0564,-0.3421,0.3822,
1.273441,-1.3963,3.4041,0.9675,0.6067,-1.7442,0.0076,
1.310313,-1.3963,3.4041,0.9675,0.6067,-1.7442,0.0076,
1.311839,-0.8235,-2.8828,-2.9636,0.6067,-1.7442,0.0076,
1.338239,-0.8235,-2.8828,-2.9636,0.6976,-0.6125,-0.3488,
1.376051,-0.8235,-2.8828,-2.9636,0.6976,-0.6125,-0.3488,
1.377738,-0.4997,0.5909,-1.3324,0.6976,-0.6125,-0.3488,
1.404406,-0.4997,0.5909,-1.3324,0.8764,-1.0737,0.2917,
1.441371,-0.4997,0.5909,-1.3324,0.8764,-1.0737,0.2917,
1.442846,-1.4164,-0.0997,-1.0122,0.8764,-1.0737,0.2917,
1.469527,-1.4164,-0.0997,-1.0122,0.4391,-1.6351,0.2650,
1.507978,-1.4164,-0.0997,-1.0122,0.4391,-1.6351,0.2650,
1.509295,0.2310,-0.0843,-0.3910,0.4391,-1.6351,0.2650,
1.535212,0.2310,-0.0843,-0.3910,0.4375,-1.7781,0.1055,
1.571916,0.2310,-0.0843,-0.3910,0.4375,-1.7781,0.1055,
1.573200,-0.1202,0.0686,-0.5074,0.4375,-1.7781,0.1055,
1.601165,-0.1202,0.0686,-0.5074,0.2573,-1.8836,-0.0429,
1.637143,-0.1202,0.0686,-0.5074,0.2573,-1.8836,-0.0429,
1.638298,-0.0977,-0.4662,0.4241,0.2573,-1.8836,-0.0429,
1.666562,-0.0977,-0.4662,0.4241,0.1568,-1.9367,-0.0127,
1.704218,-0.0977,-0.4662,0.4241,0.1568,-1.9367,-0.0127,
1.705848,1.7995,0.4860,0.6159,0.1568,-1.9367,-0.0127,
1.732319,1.7995,0.4860,0.6159,-0.0754,-1.6009,0.3118,
1.768970,1.7995,0.4860,0.6159,-0.0754,-1.6009,0.3118,
1.770559,4.1414,2.1139,-0.5273,-0.0754,-1.6009,0.3118,
1.798927,4.1414,2.1139,-0.5273,-0.2372,-0.5744,0.9081,
1.834536,4.1414,2.1139,-0.5273,-0.2372,-0.5744,0.9081,
1.835962,-3.5773,1.2000,-1.6284,-0.2372,-0.5744,0.9081,
1.862320,-3.5773,1.2000,-1.6284,-2.2416,-1.7257,0.1785,
1.899519,-3.5773,1.2000,-1.6284,-2.2416,-1.7257,0.1785,
1.901090,-2.2673,-0.1418,-0.9778,-2.2416,-1.7257,0.1785,
1.927677,-2.2673,-0.1418,-0.9778,-1.2526,-1.0444,-0.4308,
1.966149,-2.2673,-0.1418,-0.9778,-1.2526,-1.0444,-0.4308,
1.967234,0.4098,0.2547,0.8018,-1.2526,-1.0444,-0.4308,
1.993872,0.4098,0.2547,0.8018,-1.2562,-0.8879,-0.1173,
2.030689,0.4098,0.2547,0.8018,-1.2562,-0.8879,-0.1173,
2.032292,-0.2053,-3.7307,-0.0756,-1.2562,-0.8879,-0.1173,
2.058799,-0.2053,-3.7307,-0.0756,-0.2312,-0.2078,-0.0105,
2.095968,-0.2053,-3.7307,-0.0756,-0.2312,-0.2078,-0.0105,
2.097502,-0.2823,-2.1236,1.2239,-0.2312,-0.2078,-0.0105,
2.124739,-0.2823,-2.1236,1.2239,0.0560,0.1542,-0.1886,
2.161779,-0.2823,-2.1236,1.2239,0.0560,0.1542,-0.1886,
2.162889,0.6574,-1.1623,2.0618,0.0560,0.1542,-0.1886,
2.190661,0.6574,-1.1623,2.0618,0.4652,0.6655,-0.1839,
2.226805,0.6574,-1.1623,2.0618,0.4652,0.6655,-0.1839,
2.227668,0.4473,1.4067,3.9148,0.4652,0.6655,-0.1839,
2.255095,0.4473,1.4067,3.9148,0.6380,0.8712,-0.2346,
2.292278,0.4473,1.4067,3.9148,0.6380,0.8712,-0.2346,
2.293193,-0.3149,2.4273,4.9688,0.6380,0.8712,-0.2346,
2.320319,-0.3149,2.4273,4.9688,-0.1278,0.6889,0.0214,
2.358451,-0.3149,2.4273,4.9688,-0.1278,0.6889,0.0214,
2.359769,-2.0311,3.0838,-0.7481,-0.1278,0.6889,0.0214,
2.386978,-2.0311,3.0838,-0.7481,0.3415,-1.9907,-0.6976,
2.424841,-2.0311,3.0838,-0.7481,0.3415,-1.9907,-0.6976,
2.425999,-1.9790,-3.6281,-2.5575,0.3415,-1.9907,-0.6976,
2.451649,-1.9790,-3.6281,-2.5575,0.2773,0.0585,-0.0501,
2.489604,-1.9790,-3.6281,-2.5575,0.2773,0.0585,-0.0501,
2.490771,0.8785,-0.0939,-1.9871,0.2773,0.0585,-0.0501,
2.517196,0.8785,-0.0939,-1.9871,0.6712,-0.7766,-0.2072,
2.553797,0.8785,-0.0939,-1.9871,0.6712,-0.7766,-0.2072,
2.554986,-0.7102,-1.1566,-0.4944,0.6712,-0.7766,-0.2072,
2.582764,-0.7102,-1.1566,-0.4944,0.6413,-1.4067,0.3464,
2.619601,-0.7102,-1.1566,-0.4944,0.6413,-1.4067,0.3464,
2.620910,1.1844,-1.1987,0.5830,0.6413,-1.4067,0.3464,
2.649921,1.1844,-1.1987,0.5830,0.5764,-1.1156,0.1781,
2.685729,1.1844,-1.1987,0.5830,0.5764,-1.1156,0.1781,
2.687090,1.4872,-0.8432,0.8076,0.5764,-1.1156,0.1781,
2.713658,1.4872,-0.8432,0.8076,0.5993,-0.9511,-0.0021,
2.750870,1.4872,-0.8432,0.8076,0.5993,-0.9511,-0.0021,
2.752082,3.5359,2.1157,0.9630,0.5993,-0.9511,-0.0021,
2.778622,3.5359,2.1157,0.9630,0.7120,0.1368,0.1458,
2.816712,3.5359,2.1157,0.9630,0.7120,0.1368,0.1458,
2.817855,3.0482,6.6071,0.6468,0.7120,0.1368,0.1458,
2.844777,3.0482,6.6071,0.6468,-1.0394,0.2309,0.4707,
2.885137,3.0482,6.6071,0.6468,-1.0394,0.2309,0.4707,
2.886463,-1.9559,-2.6305,-0.5422,-1.0394,0.2309,0.4707,
2.909805,-1.9559,-2.6305,-0.5422,-1.1900,1.5689,0.0527,
2.946947,-1.9559,-2.6305,-0.5422,-1.1900,1.5689,0.0527,
2.948142,-2.1638,3.3198,1.5349,-1.1900,1.5689,0.0527,
