
time,ax,ay,az,wx,wy,wz,
0.023230,0.0000,0.0000,0.0000,-0.0341,0.0115,0.0186,
0.023430,0.0000,0.0000,0.0000,-0.0341,0.0115,0.0186,
0.034682,0.0000,0.0000,0.0000,-0.0524,0.0261,0.0249,
0.082046,0.0000,0.0000,0.0000,-0.0524,0.0261,0.0249,
0.098323,0.0000,0.0000,0.0000,-0.0189,0.0302,0.0027,
0.147927,0.0000,0.0000,0.0000,-0.0189,0.0302,0.0027,
0.163998,0.0000,0.0000,0.0000,0.0101,0.0188,-0.0231,
0.213405,0.0000,0.0000,0.0000,0.0101,0.0188,-0.0231,
0.228975,0.0000,0.0000,0.0000,-0.0018,0.0148,-0.0115,
0.279081,0.0000,0.0000,0.0000,-0.0018,0.0148,-0.0115,
0.295308,0.0000,0.0000,0.0000,-0.0110,-0.0093,-0.0173,
0.343851,0.0000,0.0000,0.0000,-0.0110,-0.0093,-0.0173,
0.360671,0.0000,0.0000,0.0000,-0.0101,-0.0200,-0.0301,
0.409737,0.0000,0.0000,0.0000,-0.0101,-0.0200,-0.0301,
0.425391,0.0000,0.0000,0.0000,-0.0031,-0.0283,-0.0011,
0.474651,0.0000,0.0000,0.0000,-0.0031,-0.0283,-0.0011,
0.491333,0.0000,0.0000,0.0000,-0.0176,-0.0341,0.0296,
0.491929,-0.2008,-0.0217,0.0564,-0.0176,-0.0341,0.0296,
0.541366,-0.2008,-0.0217,0.0564,-0.0176,-0.0341,0.0296,
0.557233,-0.2008,-0.0217,0.0564,-0.0625,-0.0916,0.0751,
0.558861,-0.1931,0.1145,-0.1022,-0.0625,-0.0916,0.0751,
0.606321,-0.1931,0.1145,-0.1022,-0.0625,-0.0916,0.0751,
0.623196,-0.1931,0.1145,-0.1022,-0.0877,-0.1226,0.0388,
0.623884,-0.0755,-0.1464,-0.0988,-0.0877,-0.1226,0.0388,
0.672038,-0.0755,-0.1464,-0.0988,-0.0877,-0.1226,0.0388,
0.687553,-0.0755,-0.1464,-0.0988,-0.0189,-0.0802,0.0081,
0.688907,-0.1562,0.1149,-0.0457,-0.0189,-0.0802,0.0081,
0.737333,-0.1562,0.1149,-0.0457,-0.0189,-0.0802,0.0081,
0.753172,-0.1562,0.1149,-0.0457,-0.0634,-0.0399,0.0608,
0.754246,-0.0601,0.1577,0.0630,-0.0634,-0.0399,0.0608,
0.802753,-0.0601,0.1577,0.0630,-0.0634,-0.0399,0.0608,
0.818480,-0.0601,0.1577,0.0630,-0.0939,-0.0243,0.0915,
0.820171,-0.0411,-0.0126,0.0313,-0.0939,-0.0243,0.0915,
0.868287,-0.0411,-0.0126,0.0313,-0.0939,-0.0243,0.0915,
0.885100,-0.0411,-0.0126,0.0313,-0.0496,-0.0148,-0.0029,
0.886656,-0.0150,0.0153,-0.1079,-0.0496,-0.0148,-0.0029,
0.934369,-0.0150,0.0153,-0.1079,-0.0496,-0.0148,-0.0029,
0.950457,-0.0150,0.0153,-0.1079,-0.0750,0.0377,0.0079,
0.952247,-0.1754,0.0078,0.0357,-0.0750,0.0377,0.0079,
0.999393,-0.1754,0.0078,0.0357,-0.0750,0.0377,0.0079,
1.016305,-0.1754,0.0078,0.0357,-0.4540,0.0574,0.0302,
1.017291,0.1771,0.0269,-0.3156,-0.4540,0.0574,0.0302,
1.080358,0.1771,0.0269,-0.3156,-0.4398,-0.0983,-0.2111,
1.096510,0.1771,0.0269,-0.3156,-0.4398,-0.0983,-0.2111,
1.097549,-0.1643,-0.2797,0.0760,-0.4398,-0.0983,-0.2111,
1.114073,-0.1643,-0.2797,0.0760,-0.4398,-0.0983,-0.2111,
1.145865,-0.1643,-0.2797,0.0760,-0.3264,-0.1371,-0.3601,
1.179262,-0.1643,-0.2797,0.0760,-0.3264,-0.1371,-0.3601,
1.180642,0.4908,-0.4412,-0.2348,-0.3264,-0.1371,-0.3601,
1.211013,0.4908,-0.4412,-0.2348,-0.3274,0.0473,-0.5692,
1.244230,0.4908,-0.4412,-0.2348,-0.3274,0.0473,-0.5692,
1.245473,-0.0879,-0.0138,-0.2250,-0.3274,0.0473,-0.5692,
1.277015,-0.0879,-0.0138,-0.2250,-0.3112,0.2871,-0.6631,
1.310129,-0.0879,-0.0138,-0.2250,-0.3112,0.2871,-0.6631,
1.311720,-0.1349,-0.1509,0.1296,-0.3112,0.2871,-0.6631,
1.342462,-0.1349,-0.1509,0.1296,-0.1860,0.2938,-0.6411,
1.376070,-0.1349,-0.1509,0.1296,-0.1860,0.2938,-0.6411,
1.377750,-0.4510,0.0210,0.1255,-0.1860,0.2938,-0.6411,
1.407960,-0.4510,0.0210,0.1255,-0.1542,0.1348,-0.3487,
1.441237,-0.4510,0.0210,0.1255,-0.1542,0.1348,-0.3487,
1.442984,-0.2985,0.0260,0.0544,-0.1542,0.1348,-0.3487,
1.474070,-0.2985,0.0260,0.0544,-0.1593,0.0811,-0.1307,
1.507399,-0.2985,0.0260,0.0544,-0.1593,0.0811,-0.1307,
1.508582,-0.1285,-0.8568,0.0195,-0.1593,0.0811,-0.1307,
1.538936,-0.1285,-0.8568,0.0195,-0.1576,0.1872,0.0997,
1.571409,-0.1285,-0.8568,0.0195,-0.1576,0.1872,0.0997,
1.571857,-0.4991,-0.9370,0.0072,-0.1576,0.1872,0.0997,
1.605003,-0.4991,-0.9370,0.0072,-0.1193,0.2320,0.1898,
1.636927,-0.4991,-0.9370,0.0072,-0.1193,0.2320,0.1898,
1.637276,0.1508,0.5050,0.4187,-0.1193,0.2320,0.1898,
1.669438,0.1508,0.5050,0.4187,0.0979,0.2688,0.1391,
