
time,ax,ay,az,wx,wy,wz,
0.030987,0.0000,0.0000,0.0000,-0.0739,-0.0363,0.0171,
0.039378,0.0000,0.0000,0.0000,-0.0739,-0.0363,0.0171,
0.096529,0.0000,0.0000,0.0000,-0.0742,-0.0238,0.0020,
0.104901,0.0000,0.0000,0.0000,-0.0742,-0.0238,0.0020,
0.162013,0.0000,0.0000,0.0000,-0.0264,-0.0522,-0.0180,
0.170716,0.0000,0.0000,0.0000,-0.0264,-0.0522,-0.0180,
0.227490,0.0000,0.0000,0.0000,-0.0076,-0.0521,-0.0200,
0.236488,0.0000,0.0000,0.0000,-0.0076,-0.0521,-0.0200,
0.293079,0.0000,0.0000,0.0000,-0.0070,-0.0733,-0.0084,
0.301445,0.0000,0.0000,0.0000,-0.0070,-0.0733,-0.0084,
0.359308,0.0000,0.0000,0.0000,-0.0099,-0.0985,0.0023,
0.367891,0.0000,0.0000,0.0000,-0.0099,-0.0985,0.0023,
0.424160,0.0000,0.0000,0.0000,0.0673,-0.0425,-0.0394,
0.432661,0.0000,0.0000,0.0000,0.0673,-0.0425,-0.0394,
0.482221,0.1103,-0.3400,0.1095,0.0673,-0.0425,-0.0394,
0.489775,0.1103,-0.3400,0.1095,0.0816,-0.2558,-0.1423,
0.498352,0.1103,-0.3400,0.1095,0.0816,-0.2558,-0.1423,
0.548305,-0.3626,0.2545,0.1183,0.0816,-0.2558,-0.1423,
0.554998,-0.3626,0.2545,0.1183,0.1052,-0.0767,0.0092,
0.564483,-0.3626,0.2545,0.1183,0.1052,-0.0767,0.0092,
0.613151,-0.4433,-0.0119,0.0736,0.1052,-0.0767,0.0092,
0.621934,-0.4433,-0.0119,0.0736,0.1249,0.0104,0.0577,
0.629009,-0.4433,-0.0119,0.0736,0.1249,0.0104,0.0577,
0.678436,0.0816,-0.3795,0.1358,0.1249,0.0104,0.0577,
0.685606,0.0816,-0.3795,0.1358,0.1671,0.2958,0.0510,
0.694906,0.0816,-0.3795,0.1358,0.1671,0.2958,0.0510,
0.744407,0.2475,-0.2280,0.3944,0.1671,0.2958,0.0510,
0.752420,0.2475,-0.2280,0.3944,0.1816,0.4488,-0.1261,
0.760188,0.2475,-0.2280,0.3944,0.1816,0.4488,-0.1261,
0.817432,0.2475,-0.2280,0.3944,0.7046,2.1318,-0.6787,
0.842782,0.2475,-0.2280,0.3944,0.7046,2.1318,-0.6787,
0.843894,1.5373,2.6629,0.3834,0.7046,2.1318,-0.6787,
0.858777,1.5373,2.6629,0.3834,0.7046,2.1318,-0.6787,
