
time,ax,ay,az,wx,wy,wz,
0.095307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.095900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.096314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.096617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.096842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.114463,0.0000,0.0000,0.0000,0.3255,0.1468,-0.0577,
0.180158,0.0000,0.0000,0.0000,0.1863,0.1645,-0.0341,
0.190474,0.0000,0.0000,0.0000,0.1863,0.1645,-0.0341,
0.190958,0.0000,0.0000,0.0000,0.1863,0.1645,-0.0341,
0.191224,0.0000,0.0000,0.0000,0.1863,0.1645,-0.0341,
0.191474,0.0000,0.0000,0.0000,0.1863,0.1645,-0.0341,
0.191721,0.0000,0.0000,0.0000,0.1863,0.1645,-0.0341,
0.191964,0.0000,0.0000,0.0000,0.1863,0.1645,-0.0341,
0.247406,0.0000,0.0000,0.0000,0.2806,0.1676,-0.0173,
0.254376,0.0000,0.0000,0.0000,0.2806,0.1676,-0.0173,
0.255536,0.0000,0.0000,0.0000,0.2806,0.1676,-0.0173,
0.256537,0.0000,0.0000,0.0000,0.2806,0.1676,-0.0173,
0.257568,-0.1222,-0.0674,0.3425,0.2806,0.1676,-0.0173,
0.313384,-0.1222,-0.0674,0.3425,0.0551,-0.1173,-0.0657,
0.323120,-0.0197,0.1439,-0.0204,0.0551,-0.1173,-0.0657,
0.343040,-0.0197,0.1439,-0.0204,0.0551,-0.1173,-0.0657,
0.343619,-0.0197,0.1439,-0.0204,0.0551,-0.1173,-0.0657,
0.343995,-0.0197,0.1439,-0.0204,0.0551,-0.1173,-0.0657,
0.344387,-0.0197,0.1439,-0.0204,0.0551,-0.1173,-0.0657,
0.344748,-0.0197,0.1439,-0.0204,0.0551,-0.1173,-0.0657,
0.380425,-0.0197,0.1439,-0.0204,0.0762,0.0441,-0.0925,
0.390419,0.2573,0.1234,-0.1152,0.0762,0.0441,-0.0925,
0.413065,0.2573,0.1234,-0.1152,0.0762,0.0441,-0.0925,
0.413556,0.2573,0.1234,-0.1152,0.0762,0.0441,-0.0925,
0.413806,0.2573,0.1234,-0.1152,0.0762,0.0441,-0.0925,
0.445811,0.2573,0.1234,-0.1152,0.2695,0.0155,-0.0951,
0.455125,0.2998,-0.2031,0.6532,0.2695,0.0155,-0.0951,
0.476838,0.2998,-0.2031,0.6532,0.2695,0.0155,-0.0951,
0.478583,0.2998,-0.2031,0.6532,0.2695,0.0155,-0.0951,
0.480281,0.2998,-0.2031,0.6532,0.2695,0.0155,-0.0951,
0.481439,0.2998,-0.2031,0.6532,0.2695,0.0155,-0.0951,
0.513292,0.2998,-0.2031,0.6532,0.4969,0.2087,-0.1892,
0.522668,0.0819,-0.2585,0.3538,0.4969,0.2087,-0.1892,
0.571696,0.0819,-0.2585,0.3538,0.4969,0.2087,-0.1892,
0.572349,0.0819,-0.2585,0.3538,0.4969,0.2087,-0.1892,
0.572821,0.0819,-0.2585,0.3538,0.4969,0.2087,-0.1892,
0.573275,0.0819,-0.2585,0.3538,0.4969,0.2087,-0.1892,
0.573803,0.0819,-0.2585,0.3538,0.4969,0.2087,-0.1892,
0.579645,0.0819,-0.2585,0.3538,0.2627,0.0722,-0.0095,
0.589476,-0.1390,-0.0395,0.1005,0.2627,0.0722,-0.0095,
0.652750,-0.1390,-0.0395,0.1005,0.2134,0.0297,-0.1395,
0.655755,0.5126,-0.1991,0.3524,0.2134,0.0297,-0.1395,
0.667283,0.5126,-0.1991,0.3524,0.2134,0.0297,-0.1395,
0.667887,0.5126,-0.1991,0.3524,0.2134,0.0297,-0.1395,
0.668096,0.5126,-0.1991,0.3524,0.2134,0.0297,-0.1395,
0.668363,0.5126,-0.1991,0.3524,0.2134,0.0297,-0.1395,
0.668556,0.5126,-0.1991,0.3524,0.2134,0.0297,-0.1395,
