time,gFx,gFy,gFz,TgF
0.016619,0.0016,0.5703,0.7649,0.95
0.062334,0.0427,0.5601,0.8198,0.99
0.110467,0.0256,0.5555,0.8114,0.98
0.162491,0.0471,0.5531,0.8398,1.01
0.210394,0.0363,0.5569,0.8397,1.01
0.260237,0.0622,0.5568,0.8185,0.99
0.311282,0.0392,0.5604,0.8300,1.00
0.360762,0.0308,0.5750,0.8213,1.00
0.411535,0.0450,0.5635,0.8120,0.99
0.460778,0.0411,0.5666,0.8457,1.02
0.511234,0.1019,0.5383,0.7977,0.97
0.566318,0.2807,0.3907,0.6467,0.81
0.611417,0.2544,0.3310,0.5749,0.71
0.661160,0.1955,0.1773,0.5766,0.63
0.711664,-0.0131,0.0399,0.5854,0.59
0.761059,-0.5877,-0.1275,0.8569,1.05
0.811256,-1.1009,-0.1177,1.1962,1.63
0.861257,-1.2276,-0.0571,0.7492,1.44
0.911402,-1.0173,0.0551,0.6622,1.22
0.969218,-0.9016,-0.0157,0.4579,1.01
1.011022,-0.8789,0.0154,0.4949,1.01
1.071633,-0.8002,0.0090,0.4681,0.93
1.119562,-0.9139,0.0291,0.6034,1.10
1.168825,-0.9808,-0.0938,0.5856,1.15
1.217293,-0.9989,-0.1667,0.6636,1.21
1.269166,-0.7325,-0.2829,0.8042,1.12
1.316663,-0.6830,-0.2550,0.8443,1.12
1.367142,-0.5944,-0.2085,0.7891,1.01
1.416184,-0.5674,-0.2620,0.7349,0.96
1.469768,-0.8013,-0.3329,0.6795,1.10
1.517926,-0.7382,-0.3858,0.5909,1.02
1.571152,-0.6882,-0.4568,0.5388,0.99
1.616340,-0.8145,-0.4917,0.5746,1.11
1.666925,-0.6986,-0.4353,0.8115,1.16
1.716481,-0.7709,-0.3275,0.8617,1.20
1.768034,-0.7335,-0.2316,0.8547,1.15
1.817792,-0.4206,-0.1863,0.8282,0.95
1.867492,-0.5590,-0.0905,0.7052,0.90
1.917479,-0.5312,-0.0420,0.8349,0.99
1.966873,-1.1529,-0.1160,0.4748,1.25
2.018220,-1.1470,-0.0554,0.4645,1.24
2.067943,-1.1813,-0.1913,0.2635,1.23
2.126164,-0.7572,-0.3219,0.2174,0.85
2.167810,-0.5416,-0.4474,-0.1268,0.71
2.224678,-0.9051,-0.1695,0.3424,0.98
2.277145,-1.1725,0.0190,0.1905,1.19
2.324729,-1.2705,-0.0670,-0.3985,1.33
2.375634,-0.3538,0.1295,0.0319,0.38
2.418189,-0.8336,0.7175,0.2989,1.14
2.478704,-0.5743,0.6669,0.2647,0.92
2.519267,-0.3697,0.4305,0.2260,0.61
2.577134,-1.6159,-0.4521,-0.9780,1.94
2.624419,-0.9149,-0.2058,0.2860,0.98
2.674736,-1.6644,-0.4780,0.0722,1.73
2.725004,-1.2280,-0.3665,-0.1959,1.30
2.780153,-1.5029,-0.0935,-0.3898,1.56
2.826183,-0.7316,-0.0205,0.2383,0.77
2.877178,-0.1337,-0.3943,-0.0330,0.42
2.925241,-0.7202,-0.4794,-0.3821,0.95
2.976822,-0.6809,-0.4787,0.6143,1.03
3.025724,-0.4773,-0.7402,0.7399,1.15
3.077745,-0.4346,-1.1526,0.4937,1.33
3.125462,-1.3821,-0.8996,0.0362,1.65
3.177291,-0.0494,-0.4864,-0.3655,0.61
3.228345,-0.1998,-1.0931,0.2915,1.15
3.277132,0.0451,-0.9441,0.6924,1.17
3.324336,-0.3485,-0.4400,0.3816,0.68
3.374661,-0.4182,-0.6985,0.5695,0.99
3.427310,-0.2573,-1.0153,0.7335,1.28
3.476131,-0.1495,-1.2482,-0.1396,1.26
3.525227,-0.5268,-0.6844,-0.2563,0.90
3.577317,-0.2293,-1.2973,-0.3897,1.37
3.625862,-0.1258,-1.2587,0.0776,1.27
3.677604,-0.2382,-1.1026,0.2766,1.16
3.726948,0.0355,-0.9967,-0.0201,1.00
3.775296,0.7988,-0.8070,-0.1335,1.14
3.824348,0.6950,-0.4800,0.5377,1.00
3.875162,0.4080,-0.9327,0.1437,1.03
3.924763,0.1935,-0.8758,-0.0953,0.90
3.975067,-0.4182,-1.1507,0.3031,1.26
4.024795,-0.8471,-1.1661,0.0250,1.44
4.076318,-0.8741,-0.6100,0.4604,1.16
4.125282,0.1428,-1.7219,0.7973,1.90
4.186531,0.4139,-1.9248,0.3019,1.99
4.225484,-0.0800,-0.9043,0.2896,0.95
4.285772,-0.3265,-0.5587,0.0031,0.65
4.326388,-0.3156,-0.4632,0.0408,0.56
4.387409,0.0407,-0.4638,0.0066,0.47
4.433998,-0.3042,-1.1511,0.2207,1.21
4.485569,-0.2986,-1.3416,-0.2140,1.39
4.534116,-0.4231,-0.6889,-0.0466,0.81
4.586479,-0.2108,-1.1890,-0.2344,1.23
4.633751,-0.1475,-1.3707,-0.1836,1.39
4.683811,-0.1400,-1.1874,0.0428,1.20
4.733168,-0.1648,-0.9477,0.0458,0.96
4.785440,-0.4272,-0.5854,0.4256,0.84
4.833275,-0.4797,-0.2248,0.4041,0.67
4.883395,-0.3407,-0.3802,0.3454,0.62
4.933405,-0.0700,-1.8652,0.1773,1.87
4.983336,0.2432,-2.2060,0.8229,2.37
5.033668,-0.3918,-0.9316,0.4538,1.11
5.082896,-0.8032,-0.6558,0.9680,1.42
5.133194,-0.1210,-0.8369,0.2208,0.87
5.187049,0.2843,-0.6406,0.0008,0.70
5.233180,0.0148,-0.4717,-0.0161,0.47
5.282480,-0.4005,-1.3989,-0.0985,1.46
5.332878,-0.5469,-1.1991,-0.2503,1.34
5.383304,-0.4507,-0.7447,0.0299,0.87
5.433513,0.0429,-1.1121,-0.1105,1.12
5.483400,0.0703,-1.1735,-0.1545,1.19
5.533149,-0.0192,-0.9865,-0.0820,0.99
5.583899,-0.2311,-0.9357,-0.0786,0.97
5.633144,-0.3807,-1.0484,-0.1204,1.12
5.684420,-0.4436,-0.8772,-0.0532,0.98
5.733859,-0.3686,-0.8698,0.3075,0.99
5.793101,-0.4300,-0.9421,0.5856,1.19
5.834316,-0.3984,-0.9430,0.3463,1.08
5.891200,-0.1727,-1.3280,0.0935,1.34
5.941794,-0.1707,-1.2347,0.2149,1.26
5.994074,-0.3169,-0.7125,0.2565,0.82
6.042645,-0.0182,-0.8476,0.1392,0.86
6.091963,0.0669,-0.8142,-0.0614,0.82
6.140933,-0.0093,-0.7112,0.0351,0.71
6.191566,-0.0288,-0.6004,0.0624,0.60
6.242092,0.2389,-0.4403,0.5078,0.71
6.292648,-0.6013,-2.4186,-0.0684,2.49
6.342154,-0.3898,-1.3380,0.5482,1.50
6.393884,0.0559,-0.8743,-0.2077,0.90
6.441279,0.0737,-1.0500,-0.4450,1.14
6.493366,-0.0758,-1.0270,-0.2290,1.05
6.541022,-0.2258,-0.8891,0.0207,0.92
6.590933,-0.4479,-1.1859,-0.2090,1.28
6.641222,-0.8179,-1.0197,0.6079,1.44
6.696580,-1.0187,-0.5757,0.8813,1.46
6.741779,-0.9304,-0.7858,0.2185,1.24
6.791752,-0.6951,-0.9764,0.0096,1.20
6.841662,-0.3116,-1.6614,-0.3148,1.72
6.890895,0.1440,-1.8909,-0.6113,1.99
6.941647,0.3133,-0.9417,0.1243,1.00
6.992598,0.0542,-0.8242,0.5711,1.00
7.041485,0.0292,-0.6268,0.0100,0.63
7.091248,-0.0870,-0.4530,0.0534,0.46
7.141404,-0.4889,-1.1832,0.4038,1.34
7.192113,-0.4064,-1.4632,-0.0521,1.52
7.241890,-0.3683,-0.6820,-0.1301,0.79
7.301164,-0.0779,-1.0804,-0.4708,1.18
7.341150,-0.0048,-1.4533,-0.4117,1.51
7.402166,-0.1666,-1.0518,0.1433,1.07
7.442934,-0.2981,-1.0284,0.0462,1.07
7.502401,-0.5426,-0.9011,0.2323,1.08
7.549812,-0.5457,-0.6923,0.2304,0.91
7.602851,-0.3847,-0.7172,0.4916,0.95
7.649140,-0.4013,-0.9765,0.5267,1.18
7.699028,-0.1588,-1.3212,0.1892,1.34
7.749466,0.0341,-1.7628,-0.0457,1.76
7.804196,-0.0850,-0.9046,0.0403,0.91
7.850131,0.0561,-0.8935,0.0342,0.90
7.901095,0.1227,-0.6254,0.1928,0.67
7.949935,0.0933,-0.3608,0.1866,0.42
8.002942,0.0810,-0.3547,0.2143,0.42
8.049755,-0.3769,-1.6333,-0.2357,1.69
8.102377,-0.3559,-1.0964,0.2274,1.17
8.150175,-0.1586,-0.8540,-0.0210,0.87
8.201373,-0.4318,-1.3132,-0.1749,1.39
8.249830,-0.1069,-0.9145,0.0367,0.92
8.302749,0.0522,-0.9007,0.0829,0.91
8.350003,0.0066,-0.8958,0.1611,0.91
8.402659,-0.4875,-0.7027,0.2508,0.89
8.449567,-0.8463,-0.7554,0.5842,1.28
8.501389,-0.3020,-1.5287,0.3148,1.59
8.549914,0.2941,-1.6570,0.0106,1.68
8.601444,-0.0899,-0.9996,0.1632,1.02
8.649820,-0.4747,-0.8875,0.1841,1.02
8.699788,-0.2462,-0.5966,0.3592,0.74
8.750049,-0.1295,-0.3629,0.2208,0.44
8.802989,-0.6870,-0.2663,-0.1846,0.76
8.850579,-0.3065,-1.9641,-0.2007,2.00
8.911066,-0.3730,-0.8177,0.3736,0.97
8.957930,-0.3919,-1.5441,-0.1704,1.60
9.009301,-0.2949,-0.9996,-0.2282,1.07
9.058085,-0.2234,-1.0812,-0.2598,1.13
9.110666,-0.1550,-1.0292,-0.1472,1.05
9.159347,-0.0840,-0.8234,-0.0490,0.83
9.211118,-0.1215,-0.7753,0.2129,0.81
9.258679,-0.1891,-0.7410,0.1745,0.78
9.311288,-0.2236,-0.6644,0.3239,0.77
9.358153,-0.6831,-1.1645,0.4195,1.41
9.409590,-0.0820,-1.4640,0.2579,1.49
9.458246,0.3082,-1.8770,-0.1085,1.91
9.509885,-0.1146,-0.8979,0.1601,0.92
9.557732,-0.5046,-0.8097,0.1862,0.97
9.607490,-0.2489,-0.7487,0.0817,0.79
9.657512,-0.0390,-0.5168,-0.0358,0.52
9.708228,-0.0311,-0.5096,-0.0908,0.52
9.758490,-0.7008,-0.8283,0.3733,1.15
9.809016,-0.3753,-2.3402,0.2860,2.39
9.859101,-0.0457,-0.8325,-0.1072,0.84
9.909240,0.0698,-0.6841,-0.3285,0.76
9.958206,-0.1162,-0.9864,-0.2194,1.02
10.010085,-0.3119,-0.9947,0.3039,1.09
10.058152,-0.3952,-0.9461,0.2298,1.05
10.109646,-0.1925,-1.0146,-0.0460,1.03
10.157477,-0.0937,-0.9408,-0.1590,0.96
10.209535,-0.1546,-1.0354,-0.0956,1.05
10.258145,-0.1958,-0.9779,0.0112,1.00
10.309478,-0.2090,-1.0408,0.0479,1.06
10.357890,-0.2477,-1.0750,-0.0580,1.10
10.410249,-0.2639,-1.1144,-0.0925,1.15
10.458911,-0.3034,-1.0801,-0.0185,1.12
10.509874,-0.2842,-0.9280,0.0761,0.97
10.558455,-0.2727,-0.7229,0.1154,0.78
10.619164,-0.3570,-0.4356,0.4308,0.71
10.658799,-0.5212,-0.7518,0.1883,0.93
10.708938,-0.0316,-2.0459,-0.3692,2.08
10.757783,0.2295,-1.8210,0.5054,1.90
10.810932,0.0585,-1.1291,0.2412,1.16
10.858643,-0.0852,-0.6488,-0.1281,0.67
10.909776,-0.4977,-0.2505,-0.1220,0.57
10.965418,-0.0134,-0.5156,0.1615,0.54
11.017938,-0.3615,-0.5369,0.1195,0.66
11.058267,-0.6832,-1.3713,0.2827,1.56
11.118915,-0.0880,-1.2213,0.0645,1.23
11.167324,-0.1636,-0.6726,-0.1669,0.71
11.216519,-0.3710,-1.4182,-0.3672,1.51
11.266392,-0.4543,-1.1937,-0.0808,1.28
11.317316,-0.0620,-0.9531,-0.0314,0.96
11.366784,-0.0958,-0.8086,0.1890,0.84
11.417428,-0.3454,-0.8560,0.0950,0.93
11.466633,-0.3908,-0.7335,0.3827,0.91
11.517388,-0.4955,-1.1625,0.4419,1.34
11.566455,-0.3431,-0.8601,0.1960,0.95
11.615841,-0.1559,-1.6102,-0.1942,1.63
11.665831,0.0497,-1.4372,-0.0590,1.44
11.718087,-0.3300,-0.8691,0.5975,1.11
11.765846,-0.1779,-0.8313,0.0575,0.85
11.816796,-0.1912,-0.4652,-0.0768,0.51
11.865932,-0.1508,-0.5310,-0.0388,0.55
11.916267,-0.8534,-0.7816,0.2743,1.19
11.965856,-0.8983,-1.0828,0.5298,1.50
12.016718,0.0226,-1.3393,-0.0709,1.34
12.065780,0.1429,-0.9256,-0.2892,0.98
12.115596,-0.0797,-0.7246,-0.1607,0.75
12.166247,-0.4488,-1.2730,-0.1026,1.35
12.217295,-0.2809,-0.9085,0.3592,1.02
12.265581,-0.1790,-0.9106,0.2263,0.96
12.317218,-0.2080,-1.0242,-0.0837,1.05
12.365783,-0.2653,-1.0486,-0.1473,1.09
12.418385,-0.2757,-1.0740,0.0393,1.11
12.465792,-0.4950,-1.0566,0.4923,1.27
12.516011,-0.8274,-0.6162,0.6324,1.21
12.567823,-0.2760,-0.6304,0.2085,0.72
12.617162,-0.3445,-1.5041,-0.1162,1.55
12.666323,0.0471,-1.7877,-0.7057,1.92
12.727507,-0.0331,-1.1509,-0.0879,1.15
12.766590,-0.5979,-0.9705,0.8807,1.44
12.833284,-0.4053,-0.7250,-0.0067,0.83
12.866887,-0.4573,-0.6321,-0.0369,0.78
12.927503,-0.4860,-0.8053,0.1347,0.95
12.974053,-0.4173,-0.7406,0.2370,0.88
13.025700,-0.3451,-0.7851,0.2091,0.88
13.076880,-0.2769,-0.9289,0.1420,0.98
13.125825,-0.3509,-1.0959,0.1547,1.16
13.174544,-0.3513,-0.9478,0.2438,1.04
13.227015,-0.1499,-0.8462,0.3240,0.92
13.273679,-0.3144,-0.7022,0.1771,0.79
13.324172,-0.4002,-1.0818,0.0392,1.15
13.374531,-0.0271,-0.9378,0.0523,0.94
13.424834,-0.0686,-0.9566,-0.1666,0.97
13.473669,-0.2198,-1.3433,-0.2865,1.39
13.526951,-0.1848,-1.1243,-0.0455,1.14
13.573711,-0.1749,-0.9983,0.2293,1.04
13.626007,-0.1874,-1.0160,0.1555,1.04
13.675068,-0.2116,-0.7017,0.2994,0.79
13.726578,-0.5159,-0.4542,0.3148,0.76
13.774024,-0.4170,-0.5857,0.2056,0.75
13.826938,-0.0340,-2.1772,-0.0767,2.18
13.876154,0.1608,-1.1563,0.0098,1.17
13.925603,-0.4638,-0.9988,0.2904,1.14
13.974921,-0.5261,-0.8324,0.5386,1.12
14.025801,-0.2021,-0.5995,0.0137,0.63
14.073963,-0.0291,-0.5747,-0.1195,0.59
14.124255,-0.4313,-0.6901,-0.0853,0.82
14.174211,-0.4409,-0.9761,0.2092,1.09
14.226448,-0.2162,-1.1202,0.0284,1.14
14.274930,-0.1981,-1.5594,-0.3231,1.60
14.333596,-0.0695,-0.8315,0.3520,0.91
14.382926,-0.1302,-1.2271,0.2095,1.25
14.433290,-0.3739,-1.0237,-0.1534,1.10
14.482372,-0.2782,-0.8350,-0.1731,0.90
14.533852,-0.0974,-0.7664,0.0731,0.78
14.581954,-0.3728,-0.8709,0.2401,0.98
14.632527,-0.2537,-0.6992,0.6610,1.00
14.682776,-0.3477,-0.5964,0.2857,0.75
14.741671,-0.0931,-2.1118,-0.3608,2.14
14.782786,0.3111,-1.4203,0.1466,1.46
14.835155,-0.5272,-1.3399,0.3047,1.47
14.882137,-0.7440,-0.9568,0.2205,1.23
14.935218,-0.3886,-0.8719,0.2985,1.00
14.982674,0.0690,-0.6393,-0.1077,0.65
15.035564,0.1104,-0.3752,-0.0290,0.39
15.083138,-0.2019,-0.3998,0.1103,0.46
15.136661,-0.3597,-0.4319,0.2459,0.61
15.182043,-0.8201,-2.3891,0.0377,2.53
15.234368,0.0099,-0.9952,-0.2057,1.02
15.285065,0.0212,-0.5965,-0.0114,0.60
15.333369,-0.0665,-1.3493,-0.2229,1.37
15.382696,-0.0468,-0.8969,-0.3130,0.95
15.434002,0.1231,-0.7630,0.2759,0.82
15.483622,-0.4646,-1.0656,0.4949,1.26
15.534738,-0.3140,-0.8905,-0.0805,0.95
15.582667,-0.3506,-0.8429,-0.0317,0.91
15.633712,-0.4505,-0.9403,0.5250,1.17
15.682409,-0.4422,-1.0830,0.3570,1.22
15.733573,0.3152,-1.7490,-0.4736,1.84
15.782504,0.5671,-1.6036,0.6478,1.82
15.843527,-0.3084,-0.9609,0.0723,1.01
15.883301,-0.8328,-0.8400,0.2736,1.21
15.933673,-0.3765,-0.8089,0.3726,0.97
15.983993,0.0344,-0.7007,-0.0908,0.71
16.041151,-0.0692,-0.5088,-0.1145,0.53
16.089865,-0.3281,-0.4958,0.0830,0.60
16.142218,-0.2849,-0.3427,0.1436,0.47
16.191267,-0.9356,-1.0450,0.4522,1.47
16.241660,0.1524,-2.4968,-0.5198,2.55
16.291041,0.0539,-0.7467,0.0945,0.75
16.342943,0.0648,-1.0213,-0.1688,1.04
16.391001,0.0196,-0.9427,-0.3722,1.01
16.442190,-0.0012,-0.7879,0.1997,0.81
16.490991,-0.2964,-0.8784,0.1495,0.94
16.541412,-0.3543,-0.9874,-0.0847,1.05
16.590452,-0.3331,-0.8405,-0.0101,0.90
16.640316,-0.6951,-0.8658,0.7151,1.32
16.690909,-0.7652,-0.7835,1.0003,1.48
16.740580,-0.1032,-1.6311,-0.0661,1.64
16.789925,0.3316,-2.1914,-0.6563,2.31
16.841314,-0.0855,-0.6843,-0.3454,0.77
16.890496,-1.0096,-0.6245,1.2416,1.72
16.942274,-0.4797,-0.6829,0.1490,0.85
16.990468,-0.1511,-0.5514,-0.0496,0.57
17.053200,0.1544,-0.5862,-0.0014,0.61
17.090674,-0.1670,-0.6831,0.1501,0.72
17.141656,-0.8744,-0.8678,0.4322,1.31
17.190653,-0.2272,-0.5104,0.8944,1.05
17.240460,-0.4044,-2.7132,-0.4533,2.78
17.291317,-0.0083,-0.7584,-0.3310,0.83
17.342222,-0.0703,-1.1232,-0.1329,1.13
