time,gFx,gFy,gFz,TgF
0.011539,-0.0844,0.4794,0.8803,1.01
0.061134,-0.0717,0.4790,0.8731,1.00
0.106155,-0.0516,0.4762,0.8854,1.01
0.162427,-0.0662,0.4761,0.8780,1.00
0.206891,-0.0687,0.4811,0.8609,0.99
0.257504,-0.0590,0.4816,0.8664,0.99
0.306379,-0.0526,0.4797,0.8718,1.00
0.357540,-0.0574,0.4758,0.8708,0.99
0.406152,-0.0712,0.4830,0.8639,0.99
0.457280,-0.0898,0.5027,0.8184,0.96
0.506515,-0.1027,0.5395,0.7595,0.94
0.557361,-0.0984,0.4869,0.7612,0.91
0.607213,-0.1331,0.4183,0.8278,0.94
0.661462,-0.2086,0.3500,1.0181,1.10
0.707456,-0.2202,0.3442,0.9258,1.01
0.761349,-0.2902,0.3581,0.9438,1.05
0.814822,-0.3474,0.4535,0.8258,1.00
0.856461,-0.3532,0.4526,0.8258,1.01
0.906976,-0.4009,0.4380,0.7570,0.96
0.958994,-0.5237,0.4068,0.7442,1.00
1.014387,-0.2580,0.3627,0.9588,1.06
1.061616,-0.5482,0.2832,0.7433,0.97
1.115598,-0.5621,0.2498,0.7523,0.97
1.160410,-0.6328,0.2884,0.7392,1.01
1.208374,-0.7344,0.2436,0.6586,1.02
1.259935,-0.7169,0.4026,0.6143,1.03
1.315311,-0.5292,0.0370,0.4724,0.71
1.363078,-0.5834,0.1327,0.5295,0.80
1.414704,-0.7551,0.0754,0.7015,1.03
1.465601,-0.7042,-0.1510,0.4944,0.87
1.515163,-0.8445,-0.1652,0.6102,1.05
1.565177,-0.8531,-0.2343,0.5206,1.03
1.614510,-0.9459,-0.3711,0.5664,1.16
1.665367,-1.1383,-0.3928,0.5818,1.34
1.714921,-1.2449,-0.4023,0.6911,1.48
1.766873,-1.1249,-0.3285,0.4579,1.26
1.814502,-0.9295,-0.3478,0.5969,1.16
1.870084,-1.0401,-0.2343,0.7644,1.31
1.914752,-0.8811,-0.3696,0.6503,1.16
1.965171,-0.7321,-0.5778,0.4065,1.02
2.014747,-0.4778,-0.9488,-0.0577,1.06
2.070844,-1.0080,-0.5009,0.2969,1.16
2.114752,-1.3012,-0.3878,0.1483,1.37
2.165120,-0.8459,-0.0635,0.3737,0.93
